product;location;supplier;product_name;product_group;inventory_unit;purchase_price;sales_price;minimum_delivery_batch;product_locations.introduction_date;cost_of_ordering
1439;CD 2;334;SORINE GTS ADULTO 30ML;1.102.011.00.00.00.00.00;unds;20.84;;40;2014-01-29;15.49
5345;CD 2;173;NARIDRIN ADULTO 15ML;1.102.011.00.00.00.00.00;unds;18.19;;100;2014-01-29;5.56
9607;CD 2;173;NARIDRIN 12H ADULTO 30ML;1.102.011.00.00.00.00.00;unds;29.17;;100;2014-01-29;8.9
13315;CD 2;33104;BROMELIN SUSP 100ML;1.102.011.00.00.00.00.00;unds;55.89;;24;2014-01-29;36.96
15496;CD 2;30697;TAMIFLU 75MG CAPS C/10;1.102.011.00.00.00.00.00;unds;277.30;;1;2014-01-29;229.61
15589;CD 2;334;ANTUX XAROPE 120ML;1.102.011.00.00.00.00.00;unds;35.77;;24;2014-01-29;26.09
15590;CD 2;334;ANTUX GTS 20ML;1.102.011.00.00.00.00.00;unds;46.30;;40;2014-01-29;34.4
18064;CD 2;45151;NEOSORO SOLUCAO NASAL ADULTO 30ML;1.102.011.00.00.00.00.00;unds;9.19;;60;2014-01-29;2.57
20635;CD 2;87021;ABRILAR XAROPE 100ML;1.102.011.00.00.00.00.00;unds;35.82;;35;2014-01-29;23.5
21141;CD 2;96108;PERCOF XAROPE 120ML;1.102.011.00.00.00.00.00;unds;34.89;;40;2014-01-29;25.97
31330;CD 2;87021;ABRILAR XAROPE 200ML;1.102.011.00.00.00.00.00;unds;78.55;;40;2014-01-29;51.5
35416;CD 2;102013;EXPECTAMIN XAROPE 120ML;1.102.011.00.00.00.00.00;unds;24.19;;60;2014-01-29;11.25
35772;CD 2;173;EMSEXPECTOR XAROPE 120ML;1.102.011.00.00.00.00.00;unds;23.77;;60;2014-01-29;12.55
36857;CD 2;51356;NARIX ADULTO 30ML;1.102.011.00.00.00.00.00;unds;7.54;;200;2014-01-29;2.61
42076;CD 2;102013;HEDRA EXPEC XAROPE 100ML;1.102.011.00.00.00.00.00;unds;21.17;;60;2014-01-29;8.35
44217;CD 2;33104;BROMELIN S 100ML;1.102.011.00.00.00.00.00;unds;57.36;;24;2014-09-25;44.92
48812;CD 2;35610;ARLIVRY XAROPE CEREJA 100ML;1.102.011.00.00.00.00.00;unds;21.90;;50;2016-12-20;7.49
48813;CD 2;35610;ARLIVRY XAROPE MEL 100ML;1.102.011.00.00.00.00.00;unds;27.51;;50;2016-12-20;7.49
51957;CD 2;51356;HEDERA CIMED 7MG 100ML;1.102.011.00.00.00.00.00;unds;36.64;;30;2018-07-12;8.02
54554;CD 2;88708;ALOFF XPE 60ML;1.102.011.00.00.00.00.00;unds;33.04;;40;2019-08-28;25.19
55917;CD 2;29532;POLARATUSS LIQ 120ML;1.102.011.00.00.00.00.00;unds;30.38;;60;2020-03-16;9.13
