start_date;end_date;name;campaign;type
2024-09-20;2024-09-20;GENERICO - L3P2 15;181754;PAGUE E LEVE
2024-11-29;2024-12-01;YELLOW FRIDAY CIMED - L2P1;188058;PAGUE E LEVE
2024-04-29;2024-05-30;ANA/HYPERA - L4P3;165661;PAGUE E LEVE
2023-05-02;2023-05-10;CIMED - 60% Desc 2Âª UN;134226;PAGUE E LEVE
2024-05-02;2024-05-20;13% OFF GRUPO NC;9396817;REBAIXA
2024-06-07;2024-06-30;(GENERICOS) 50% NA 2A UND;170530;PAGUE E LEVE
2024-04-26;2024-04-26;GENERICO - L3P2 15;165547;PAGUE E LEVE
2023-06-05;2023-07-02;PROMO - L2P1;136020;PAGUE E LEVE
2024-07-01;2024-07-20;(FM) 01.07 A 20.07 PC;9486129;REBAIXA
2024-11-15;2024-11-15;(DIA DO GENÃRICO) L4 COM 30% EM CADA [P];186422;PAGUE E LEVE
2023-02-05;2023-02-06;PROMO GENERICO L3P2;125057;PAGUE E LEVE
2023-09-28;2023-10-31;50% 2Âª GENERICOS 2;146369;PAGUE E LEVE
2024-12-13;2024-12-13;(MAIS Ã MENOS) GENERICO 30% A PARTIR DE COMBOS DE 4 [P];190200;PAGUE E LEVE
2024-10-25;2024-10-25;(MAIS Ã MENOS) GENERICO 30% A PARTIR DE COMBOS DE 4 [P];184313;PAGUE E LEVE
2024-09-27;2024-09-27;(MAIS Ã MENOS) GENÃRICO 33% A PARTIR DE COMBOS DE 3 [P];181855;PAGUE E LEVE
2024-05-02;2024-05-20;13% OFF GRUPO NC;9396828;REBAIXA
2023-09-01;2023-09-30;FM REBAIXA (0109 A 3009);9092265;REBAIXA
2024-09-28;2024-10-01;	(MAIS Ã MENOS) GENERICO 30% A PARTIR DE COMBOS DE 4 [P];183589;PAGUE E LEVE
2023-07-03;2023-07-31;REBAIXA FM (03 A 31) (22) J;7980142;REBAIXA
2023-08-09;2023-08-31;FM CIFARMA (09 A 31) AGOSTO;9070706;REBAIXA
2023-11-27;2023-11-30;GENERICO 50% NA 2 - SEM CIMED;152739;PAGUE E LEVE
2024-08-01;2024-09-01;GENERICOS 50% OFF NA 2 UND (2);175959;PAGUE E LEVE
2023-10-06;2023-10-31;NEOSORO  ADULTO 30ML - L4P3;147654;PAGUE E LEVE
2024-03-28;2024-03-28;GENERICO - L4P2 15;162527;PAGUE E LEVE
2023-03-06;2023-04-02;L4P3 NEOSORO 30ML;129941;PAGUE E LEVE
2023-08-17;2023-08-30;NEOSORO - L4P3;140955;PAGUE E LEVE
2024-12-06;2024-12-06;(MAIS Ã MENOS) GENERICO 30% A PARTIR DE COMBOS DE 4 [P];190023;PAGUE E LEVE
2024-11-29;2024-11-29;(MAIS Ã MENOS) GENÃRICOS - LEVE 4 COM 50% OFF EM COMBOS DE 4 [P];187431;PAGUE E LEVE
2024-03-31;2024-04-02;INVERNO AMERELO AJUSTE;9345135;REBAIXA
2024-02-23;2024-02-26;ACAO GENERICO L3P2 ;159863;PAGUE E LEVE
2023-11-01;2023-11-23;AÃÃO 50% NA 2;149596;PAGUE E LEVE
2024-09-09;2024-09-09;(MAIS Ã MENOS) GENÃRICO 33% A PARTIR DE COMBOS DE 3 [P];181848;PAGUE E LEVE
2023-11-24;2023-11-26;GENERICOS L4P2 - 11;152663;PAGUE E LEVE
2024-01-31;2024-02-27;NEOSORO SOLUCAO NASAL ADULTO 30ML - LEVE 4 PAGUE 3;158266;PAGUE E LEVE
2024-11-29;2024-12-01;YELLOW FRIDAY - L2P1;188059;PAGUE E LEVE
2023-12-01;2024-01-01;AÃÃO NACIONAL - 50% NA 2;153683;PAGUE E LEVE
2024-06-28;2024-06-28;GENERICO NACIONAL - L3P2 21;172329;PAGUE E LEVE
2023-04-01;2023-04-30;GENÃRICOS - 50% NA 2 UNIDADE;131493;PAGUE E LEVE
2024-09-18;2024-09-18;GENERICO - 25% OFF EM COMBOS DE 4 [P];183538;PAGUE E LEVE
2024-10-18;2024-10-18;	(MAIS Ã MENOS) GENERICO 30% A PARTIR DE COMBOS DE 4 [P];183590;PAGUE E LEVE
2024-03-31;2024-04-02;(INVERNO AMARELO) NARIX ADULTO 30ML - L2P1;162574;PAGUE E LEVE
2023-11-01;2023-11-30;NEOSORO SOL NASAL ADULTO 30ML - L4P3;149416;PAGUE E LEVE
2024-07-01;2024-07-20;(FM) 01.07 A 20.07 PC;9486127;REBAIXA
2024-03-31;2024-04-02;(INVERNO AMARELO) LORATAMED D XPE 60ML - L2P1;162563;PAGUE E LEVE
2024-11-17;2024-11-22;YELLOW FRIDAY CIMED;186423;PAGUE E LEVE
2023-09-01;2023-09-14;CIMED - L2P1;141798;PAGUE E LEVE
2024-04-15;2024-04-28;30% 2Âª NARIDRIN;164948;PAGUE E LEVE
2024-04-15;2024-04-28;20% OFF GRUPO NC;9374895;REBAIXA
2023-03-01;2023-03-31;50% NA 2 UNID GENERICOS (NACIONAL);128856;PAGUE E LEVE
2024-05-31;2024-06-05;COMPRE NEOSORO ADUL 30ML E GANHE 50% EM NEOLEFRIN NOITE;168573;PAGUE E LEVE
2024-09-30;2024-10-31;L4P3 NEOSORO;182205;PAGUE E LEVE
2024-03-31;2024-04-02;INVERNO AMERELO AJUSTE;9345296;REBAIXA
2023-09-08;2023-10-01;NEOSORO SOL NASAL ADULTO 30ML - L4P3;145663;PAGUE E LEVE
2024-04-24;2024-04-30;NEOSORO SOLUCAO NASAL ADULTO 30ML - L4P3;165510;PAGUE E LEVE
2024-02-28;2024-02-29;NEOSORO SOLUCAO NASAL ADULTO 30ML - LEVE 4 PAGUE 3;160199;PAGUE E LEVE
2023-07-03;2023-07-31;REBAIXA FM (03 A 31) (22) J;7980145;REBAIXA
2023-06-15;2023-06-28;(LAMINA) NARIX ADULTO 30ML - 50% OFF NA 2Âª UND;136658;PAGUE E LEVE
2024-12-20;2024-12-20;(MAIS Ã MENOS) GENÃRICOS - LEVE 4 COM 50% OFF EM COMBOS DE 4 [P];190659;PAGUE E LEVE
2023-04-28;2023-04-30;L4P3 NARIDRIN;133688;PAGUE E LEVE
2024-03-31;2024-04-02;(INVERNO AMARELO) HEDERA CIMED 7MG/ML CEREJA XPE100ML - L2P1;162576;PAGUE E LEVE
2023-07-27;2023-07-31;NEOSORO SOLUCAO NASAL ADULTO 30ML - L4P3;138959;PAGUE E LEVE
2024-10-11;2024-10-11;(MAIS Ã MENOS) GENERICO 30% A PARTIR DE COMBOS DE 4 [P];183752;PAGUE E LEVE
2023-05-01;2023-05-28;L4P3 NARIDRIN;133763;PAGUE E LEVE
2023-04-03;2023-04-23;NEOSORO ADULTO 30ML - L4P3;132033;PAGUE E LEVE
2023-08-09;2023-08-31;FM CIFARMA (09 A 31) AGOSTO;9070709;REBAIXA
2024-08-01;2024-09-01;L3P2 NEO QUIMICA;175770;PAGUE E LEVE
2023-10-06;2023-10-31;NEOSORO  ADULTO 30ML - L4P3;147669;PAGUE E LEVE
2024-11-08;2024-11-08;(MAIS Ã MENOS) GENERICO 30% A PARTIR DE COMBOS DE 4 [P];186291;PAGUE E LEVE
2024-06-06;2024-06-30;NEOSORO - LEVE 4 PAGUE 3;170401;PAGUE E LEVE
2023-04-03;2023-04-23;LORATAMED - 50% NA 2a UN;131868;PAGUE E LEVE
2024-05-31;2024-05-31;GENERICO - L3P2 15;169186;PAGUE E LEVE
2023-02-07;2023-02-28;NEOSORO SOL NASAL ADUL 30ML- L4P3;127245;PAGUE E LEVE
2024-12-27;2024-12-27;(MAIS Ã MENOS) GENÃRICOS - LEVE 4 COM 30% OFF EM COMBOS DE 4 [P];190697;PAGUE E LEVE
2024-09-02;2024-09-29;L4P3 NEOSORO SOLUCAO;179505;PAGUE E LEVE
2024-08-30;2024-08-30;GENERICO - L3P2 15;179039;PAGUE E LEVE
2024-03-31;2024-04-02;(INVERNO AMARELO) HEDERA CIMED 7MG 100ML - L2P1;162580;PAGUE E LEVE
2024-12-27;2024-12-27;(MAIS Ã MENOS) GENERICO 30% A PARTIR DE COMBOS DE 4 [P];190202;PAGUE E LEVE
2024-12-20;2024-12-20;(MAIS Ã MENOS) GENERICO 30% A PARTIR DE COMBOS DE 4 [P];190201;PAGUE E LEVE
2024-07-26;2024-07-26;GENERICO - L3P2 15;175100;PAGUE E LEVE
2024-09-27;2024-09-27;(MAIS Ã MENOS) GENÃRICO 33% A PARTIR DE COMBOS DE 3 [P];181844;PAGUE E LEVE
2024-01-31;2024-02-27;50% na 2;158141;PAGUE E LEVE
2024-06-28;2024-06-28;GENERICO NACIONAL - L3P2 6;172341;PAGUE E LEVE
2024-01-02;2024-01-30;50% NA 2;156065;PAGUE E LEVE
2023-02-05;2023-02-06;(PROMOS BBB) GENÃRICOS - L3P2;127115;PAGUE E LEVE
2024-07-01;2024-07-31;L4P3 NEO QUIMICA;173165;PAGUE E LEVE
2024-04-15;2024-04-28;20% OFF GRUPO NC;9374904;REBAIXA
2024-11-22;2024-11-22;(MAIS Ã MENOS) GENERICO 30% A PARTIR DE COMBOS DE 4 [P];187053;PAGUE E LEVE
2023-09-01;2023-09-30;FM REBAIXA (0109 A 3009);9092268;REBAIXA
2024-11-15;2024-11-15;(MAIS Ã MENOS) GENERICO 30% A PARTIR DE COMBOS DE 4 [P];183753;PAGUE E LEVE
2024-11-01;2024-11-01;(MAIS Ã MENOS) GENERICO 30% A PARTIR DE COMBOS DE 4 [P];184664;PAGUE E LEVE
2023-08-21;2023-08-30;PROMO L2P1;141001;PAGUE E LEVE
2024-10-04;2024-10-04;	(MAIS Ã MENOS) GENERICO 30% A PARTIR DE COMBOS DE 4 [P];183588;PAGUE E LEVE
