campaign;product;location
175100;57814;1314
128856;57817;1314
183589;57816;841
152663;57817;841
181844;57814;1314
183588;57816;1314
190201;57817;1314
136658;36857;1314
186422;57814;841
128856;57817;841
152663;57816;841
186422;57814;1314
9345135;62782;1314
162574;36857;841
173165;18064;1314
187431;57816;1314
165661;18064;1314
184664;57814;841
7980142;55917;841
133763;5345;841
127115;57814;1314
172329;57814;841
181855;57817;1314
181855;57817;841
190202;57817;841
188058;36857;1314
181848;57816;1314
138959;18064;1314
175959;57817;1314
190201;57814;1314
181844;57814;841
125057;57816;841
184313;57816;1314
131868;57912;841
183590;57816;841
183590;57816;1314
147669;18064;841
186291;57817;1314
165661;18064;841
147669;18064;1314
181848;57816;841
187431;57817;1314
190697;57816;1314
179039;57816;841
183589;57817;1314
175100;57817;1314
183588;57816;841
170401;18064;1314
184664;57816;841
183538;57816;841
132033;18064;841
181844;57817;841
183590;57814;1314
162576;62782;841
141798;62782;1314
170401;18064;841
186422;57816;841
162527;57816;841
187053;57816;1314
190697;57817;1314
190200;57816;1314
188058;36857;841
141001;57912;841
175959;57817;841
9345296;36857;841
129941;18064;1314
190697;57814;841
181754;57816;1314
133688;5345;1314
183752;57817;841
183589;57814;841
181754;57814;841
162580;51957;841
127115;57817;841
9374904;5345;1314
159863;57814;841
9486127;5345;841
186291;57816;1314
9486129;5345;1314
184664;57817;1314
184664;57817;841
183538;57814;1314
162527;57814;841
181754;57817;841
129941;18064;841
152663;57817;1314
186291;57814;841
133763;5345;1314
149416;18064;841
181855;57814;841
158266;18064;841
165547;57817;841
183538;57817;1314
175100;57816;841
186291;57814;1314
162527;57814;1314
190697;57817;841
162574;36857;1314
146369;57817;841
140955;18064;1314
187431;57817;841
165547;57814;1314
172341;57817;1314
187431;57814;841
184313;57814;841
181855;57816;1314
127115;57816;841
190659;57814;841
175770;18064;1314
125057;57814;1314
152663;57816;1314
190202;57816;841
162576;62782;1314
186422;57817;841
125057;57817;841
183588;57814;841
190200;57817;1314
183752;57816;1314
190201;57816;1314
169186;57816;1314
190023;57816;841
133688;5345;841
183538;57814;841
159863;57814;1314
7980145;55917;1314
131493;57817;1314
9374895;5345;841
183589;57814;1314
190202;57816;1314
190697;57816;841
9070706;55917;841
187431;57816;841
183753;57814;841
183589;57817;841
9345296;51957;841
184313;57814;1314
190202;57817;1314
181848;57817;1314
169186;57817;1314
187431;57814;1314
145663;18064;1314
9396817;5345;1314
184313;57817;841
9345135;36857;1314
153683;57817;841
146369;57817;1314
183752;57814;1314
136658;36857;841
145663;18064;841
184313;57816;841
149596;57817;841
190202;57814;1314
181844;57816;1314
152739;57817;1314
190201;57814;841
169186;57814;841
190659;57814;1314
183753;57816;1314
175770;18064;841
183590;57817;841
168573;18064;1314
136020;57912;841
149416;18064;1314
186291;57817;841
141001;57912;1314
136020;57912;1314
190659;57817;841
127245;18064;1314
190659;57817;1314
164948;9607;1314
184664;57816;1314
165547;57814;841
162580;51957;1314
187053;57814;1314
159863;57817;841
190201;57817;841
172341;57817;841
136020;62782;841
127115;57816;1314
136020;62782;1314
165547;57816;841
179039;57814;841
179039;57817;841
190200;57814;1314
165510;18064;841
162563;57912;841
9345296;57912;841
127115;57814;841
175100;57814;841
179505;18064;841
183590;57817;1314
141798;57912;841
181754;57814;1314
164948;9607;841
162527;57817;1314
188059;36857;841
152663;57814;841
190200;57814;841
179039;57814;1314
127245;18064;841
9345135;57912;1314
131493;57817;841
9092265;55917;841
190201;57816;841
162527;57817;841
125057;57816;1314
170530;57817;1314
181848;57814;1314
149596;57817;1314
181855;57814;1314
136020;51957;841
127115;57817;1314
183538;57816;1314
158141;57817;841
153683;57817;1314
183588;57817;841
187053;57814;841
156065;57817;1314
187053;57816;841
160199;18064;841
190200;57816;841
183753;57816;841
183752;57816;841
182205;18064;1314
190023;57816;1314
183753;57817;1314
184664;57814;1314
175100;57816;1314
134226;57912;841
156065;57817;841
190697;57814;1314
186422;57817;1314
187053;57817;1314
172341;57816;841
141001;62782;1314
152663;57814;1314
141798;62782;841
140955;18064;841
179039;57817;1314
184313;57817;1314
183590;57814;841
9345135;51957;1314
181848;57814;841
147654;18064;1314
186291;57816;841
125057;57817;1314
179039;57816;1314
136020;51957;1314
183752;57817;1314
132033;18064;1314
162563;57912;1314
190659;57816;841
181844;57817;1314
172341;57816;1314
169186;57816;841
158141;57817;1314
172329;57814;1314
131868;57912;1314
183588;57817;1314
186423;36857;1314
147654;18064;841
183538;57817;841
158266;18064;1314
141001;62782;841
181855;57816;841
175100;57817;841
183753;57817;841
152739;57817;841
183588;57814;1314
173165;18064;841
190023;57817;1314
182205;18064;841
190202;57814;841
134226;57912;1314
169186;57817;841
188059;36857;1314
186422;57816;1314
190659;57816;1314
9070709;55917;1314
190023;57817;841
165547;57816;1314
190023;57814;841
168573;18064;841
159863;57817;1314
159863;57816;1314
9092268;55917;1314
169186;57814;1314
9396828;5345;841
187053;57817;841
170530;57817;841
162527;57816;1314
183589;57816;1314
9345296;62782;841
183752;57814;841
159863;57816;841
165547;57817;1314
165510;18064;1314
183753;57814;1314
138959;18064;841
125057;57814;841
181754;57816;841
181754;57817;1314
160199;18064;1314
186423;36857;841
190023;57814;1314
179505;18064;1314
190200;57817;841
181844;57816;841
181848;57817;841
141798;57912;1314
