supplier;name;product;lead_time;ordering_days;delivery_days;order_cycle;minimum_order_value;minimum_order_quantity;location
112208;PANPHA ACHE SPGO;1439;5;MO, TU, WE, TH, FR;MO, TU, WE, TH, FR;EVERY_WEEK;833.6;40;CD 2
112820;EMMARKA EMS SIMILAR;5345;22;MO, TU, WE, TH, FR;MO, TU, WE, TH, FR;EVERY_2_WEEKS;1819;100;CD 2
112820;EMMARKA EMS SIMILAR;9607;22;MO, TU, WE, TH, FR;MO, TU, WE, TH, FR;EVERY_2_WEEKS;2917;100;CD 2
101984;QUESALON MED MG;13315;14;MO, TU, WE, TH, FR;MO, TU, WE, TH, FR;EVERY_2_WEEKS;1341.36;24;CD 2
30697;ROCHE AME;15496;8;MO, TU, WE, TH, FR;MO, TU, WE, TH, FR;EVERY_4_WEEKS;277.3;1;CD 2
111020;BIOSINTETICA RX;15589;12;MO, TU, WE, TH, FR;MO, TU, WE, TH, FR;EVERY_WEEK;858.48;24;CD 2
111020;BIOSINTETICA RX;15590;12;MO, TU, WE, TH, FR;MO, TU, WE, TH, FR;EVERY_2_WEEKS;1852;40;CD 2
45151;HYPERA NQ SIMIL;18064;5;MO, TU, WE, TH, FR;MO, TU, WE, TH, FR;EVERY_WEEK;551.4;60;CD 2
87021;FQM Farma;20635;10;MO, TU, WE, TH, FR;MO, TU, WE, TH, FR;EVERY_4_WEEKS;1253.7;35;CD 2
112215;PANPHA SUPERA SPGO;21141;11;MO, TU, WE, TH, FR;MO, TU, WE, TH, FR;EVERY_WEEK;1395.6;40;CD 2
87021;FQM Farma;31330;10;MO, TU, WE, TH, FR;MO, TU, WE, TH, FR;EVERY_4_WEEKS;3142;40;CD 2
112599;EMS LEGRAND SIMILAR;35416;9;MO, TU, WE, TH, FR;MO, TU, WE, TH, FR;EVERY_2_WEEKS;1451.4;60;CD 2
112820;EMMARKA EMS SIMILAR;35772;22;MO, TU, WE, TH, FR;MO, TU, WE, TH, FR;EVERY_2_WEEKS;1426.2;60;CD 2
51356;CIMED MG;36857;16;MO, TU, WE, TH, FR;MO, TU, WE, TH, FR;EVERY_2_WEEKS;1508;200;CD 2
112599;EMS LEGRAND SIMILAR;42076;9;MO, TU, WE, TH, FR;MO, TU, WE, TH, FR;EVERY_2_WEEKS;1270.2;60;CD 2
1961;INFAN - IND. QUIM. F;44217;15;MO, TU, WE, TH, FR;MO, TU, WE, TH, FR;EVERY_2_WEEKS;1376.64;24;CD 2
35610;NATULAB;48812;11;MO, TU, WE, TH, FR;MO, TU, WE, TH, FR;EVERY_4_WEEKS;1095;50;CD 2
35610;NATULAB;48813;11;MO, TU, WE, TH, FR;MO, TU, WE, TH, FR;EVERY_4_WEEKS;1375.5;50;CD 2
51356;CIMED MG;51957;16;MO, TU, WE, TH, FR;MO, TU, WE, TH, FR;EVERY_2_WEEKS;1099.2;30;CD 2
112214;PANPHA MOMENTA SPGO;54554;6;MO, TU, WE, TH, FR;MO, TU, WE, TH, FR;EVERY_4_WEEKS;1321.6;40;CD 2
29532;CIFARMA GOIÃNIA;55917;7;MO, TU, WE, TH, FR;MO, TU, WE, TH, FR;EVERY_2_WEEKS;1822.8;60;CD 2
105913;NATCOFARMA GN;57814;12;MO, TU, WE, TH, FR;MO, TU, WE, TH, FR;EVERY_4_WEEKS;17301.12;96;CD 2
105913;NATCOFARMA GN;57816;12;MO, TU, WE, TH, FR;MO, TU, WE, TH, FR;EVERY_4_WEEKS;6920.64;96;CD 2
105913;NATCOFARMA GN;57817;12;MO, TU, WE, TH, FR;MO, TU, WE, TH, FR;EVERY_4_WEEKS;10381.44;96;CD 2
51356;CIMED MG;57912;16;MO, TU, WE, TH, FR;MO, TU, WE, TH, FR;EVERY_2_WEEKS;2355.84;96;CD 2
87021;FQM Farma;58701;10;MO, TU, WE, TH, FR;MO, TU, WE, TH, FR;EVERY_4_WEEKS;2290.05;35;CD 2
112214;PANPHA MOMENTA SPGO;62364;6;MO, TU, WE, TH, FR;MO, TU, WE, TH, FR;EVERY_4_WEEKS;37.49;1;CD 2
51356;CIMED MG;62782;16;MO, TU, WE, TH, FR;MO, TU, WE, TH, FR;EVERY_2_WEEKS;1149.9;30;CD 2
111893;MED SAUDE PHARMASC;76834;38;MO, TU, WE, TH, FR;MO, TU, WE, TH, FR;EVERY_4_WEEKS;1470.4;160;CD 2
