date;location;product;balance;value
2023-01-06;1314;57912;1;10.84
2023-01-06;1314;51957;4;48.92
2023-01-06;1314;62782;0;0
2023-01-06;1314;15589;0;0
2023-01-06;1314;35416;5;49.5
2023-01-06;1314;21141;1;31.14
2023-01-06;1314;35772;0;0
2023-01-27;1314;62364;1;31.12
2023-01-14;1314;57912;1;10.84
2023-01-14;1314;51957;4;48.92
2023-01-14;1314;62782;0;0
2023-01-14;1314;15589;1;31.69
2023-01-14;1314;35416;5;49.5
2023-01-14;1314;21141;0;0
2023-01-14;1314;35772;0;0
2023-01-26;1314;57912;0;0
2023-01-26;1314;62782;0;0
2023-01-26;1314;51957;4;48.92
2023-01-26;1314;15589;0;0
2023-01-26;1314;35416;5;49.5
2023-01-26;1314;21141;1;31.14
2023-01-26;1314;35772;0;0
2023-01-31;1314;62364;1;31.12
2023-01-19;841;57912;1;8.62
2023-01-19;841;15590;1;31.08
2023-01-19;841;62782;2;11.96
2023-01-19;841;35416;1;5.79
2023-01-19;841;21141;1;25.98
2023-01-19;841;15589;2;52.3
2023-01-19;841;51957;5;29.45
2023-01-19;841;35772;0;0
2023-01-31;841;18064;1;2.34
2023-01-31;841;9607;6;48
2023-01-31;841;5345;5;24.95
2023-01-31;841;1439;3;44.76
2023-01-31;841;36857;0;0
2023-01-31;841;31330;1;50.39
2023-01-31;841;58701;1;42.8
2023-01-31;841;20635;2;46.18
2023-01-12;1314;18064;199;774.11
2023-01-12;1314;9607;19;244.53
2023-01-12;1314;1439;6;110.4
2023-01-12;1314;36857;23;81.42
2023-01-12;1314;5345;2;16.08
2023-01-12;1314;13315;3;132.21
2023-01-12;1314;44217;2;78.6
2023-01-12;1314;58701;2;103.34
2023-01-12;1314;20635;7;207.69
2023-01-12;1314;31330;5;325.4
2023-01-27;1314;57912;0;0
2023-01-27;1314;62782;0;0
2023-01-27;1314;51957;4;48.92
2023-01-27;1314;15589;0;0
2023-01-27;1314;35416;5;49.5
2023-01-27;1314;21141;1;31.14
2023-01-27;1314;35772;0;0
2023-01-20;1314;62364;1;31.12
2023-01-28;1314;62364;1;31.12
2023-01-12;841;57912;1;8.62
2023-01-12;841;15590;1;31.08
2023-01-12;841;62782;2;11.96
2023-01-12;841;35416;1;5.79
2023-01-12;841;21141;0;0
2023-01-12;841;15589;3;78.45
2023-01-12;841;51957;5;29.45
2023-01-12;841;35772;0;0
2023-01-12;841;36857;1;2.27
2023-10-02;1314;18064;126;488.88
2023-10-02;1314;9607;11;145.09
2023-10-02;1314;1439;3;55.47
2023-10-02;1314;36857;7;21.77
2023-10-02;1314;5345;8;66.48
2023-10-02;1314;58701;1;51.67
2023-10-02;1314;57912;1;12.61
2023-10-02;1314;62782;1;13.61
2023-10-02;1314;51957;1;12.3
2023-10-02;1314;15590;3;121.35
2023-10-02;1314;15589;9;265.41
2023-10-02;1314;21141;10;302
2023-10-02;1314;35416;3;44.76
2023-10-02;1314;48812;2;18.26
2023-10-02;1314;48813;4;29.4
2023-01-20;841;36857;1;2.27
2023-01-20;841;18064;13;30.42
2023-01-20;841;9607;8;64
2023-01-20;841;5345;1;4.99
2023-01-20;841;1439;3;44.76
2023-01-20;841;31330;1;50.39
2023-01-20;841;58701;1;42.8
2023-01-20;841;20635;3;69.27
2023-10-16;1314;57912;1;12.61
2023-10-16;1314;62782;1;13.61
2023-10-16;1314;51957;1;12.3
2023-10-16;1314;15590;3;121.35
2023-10-16;1314;15589;11;324.39
2023-10-16;1314;21141;7;211.26
2023-10-16;1314;35416;3;44.67
2023-10-16;1314;48812;4;36.76
2023-10-16;1314;48813;4;29.64
2023-01-11;841;18064;25;58.5
2023-01-11;841;9607;10;80
2023-01-11;841;5345;3;14.97
2023-01-11;841;1439;3;44.76
2023-01-11;841;31330;1;50.39
2023-01-11;841;58701;1;42.8
2023-01-11;841;20635;3;69.27
2023-01-14;1314;18064;204;793.56
2023-01-14;1314;9607;24;308.88
2023-01-14;1314;1439;6;110.4
2023-01-14;1314;36857;22;77.88
2023-01-14;1314;5345;2;16.08
2023-01-14;1314;13315;3;132.21
2023-01-14;1314;44217;2;78.6
2023-01-14;1314;58701;2;103.34
