date;location;product;type;quantity;value;partner_code
2023-01-01;1314;15589;SALE;-1;-31.46;CLIENTE
2023-01-01;1314;18064;SALE;-6;-23.34;CLIENTE
2023-01-02;1314;1439;SALE;-5;-90.4;CLIENTE
2023-01-02;1314;9607;SALE;-1;-12.86;CLIENTE
2023-01-02;1314;18064;SALE;-10;-38.9;CLIENTE
2023-01-03;841;18064;SALE;-2;-4.68;CLIENTE
2023-01-03;1314;1439;DELIVERY;1;18.4;CD 2
2023-01-03;1314;9607;DELIVERY;3;38.61;CD 2
2023-01-03;1314;9607;SALE;-4;-51.48;CLIENTE
2023-01-03;1314;18064;DELIVERY;28;108.92;CD 2
2023-01-03;1314;18064;SALE;-3;-11.67;CLIENTE
2023-01-04;841;15589;SALE;-1;-25.58;CLIENTE
2023-01-04;1314;18064;ADJUSTMENT;-3;-11.67;OUTROS
2023-01-04;1314;18064;SALE;-2;-7.78;CLIENTE
2023-01-05;841;18064;DELIVERY;4;9.36;CD 2
2023-01-05;1314;18064;DELIVERY;12;46.68;CD 2
2023-01-05;1314;18064;SALE;-1;-3.89;CLIENTE
2023-01-06;841;21141;SALE;-1;-25.98;CLIENTE
2023-01-06;1314;9607;DELIVERY;1;12.87;CD 2
2023-01-06;1314;18064;DELIVERY;5;19.45;CD 2
2023-01-06;1314;18064;SALE;-6;-23.34;CLIENTE
2023-01-06;1314;62364;SALE;-1;-31.12;CLIENTE
2023-01-07;841;15589;DELIVERY;1;26.01;CD 2
2023-01-07;841;18064;DELIVERY;2;4.68;CD 2
2023-01-07;1314;9607;DELIVERY;1;12.87;CD 2
2023-01-07;1314;9607;SALE;-1;-12.87;CLIENTE
2023-01-07;1314;18064;DELIVERY;31;120.59;CD 2
2023-01-07;1314;18064;SALE;-6;-23.34;CLIENTE
2023-01-08;1314;18064;DELIVERY;3;11.67;CD 2
2023-01-08;1314;18064;SALE;-10;-38.9;CLIENTE
2023-01-09;841;18064;SALE;-1;-2.34;CLIENTE
2023-01-09;1314;1439;DELIVERY;5;92;CD 2
2023-01-09;1314;9607;SALE;-1;-12.87;CLIENTE
2023-01-09;1314;15589;DELIVERY;1;31.69;CD 2
2023-01-09;1314;18064;DELIVERY;9;35.01;CD 2
2023-01-09;1314;18064;SALE;-8;-31.12;CLIENTE
2023-01-10;1314;9607;DELIVERY;2;25.74;CD 2
2023-01-10;1314;18064;DELIVERY;9;35.01;CD 2
2023-01-10;1314;18064;SALE;-5;-19.45;CLIENTE
2023-01-10;1314;20635;DELIVERY;1;30.12;CD 2
2023-01-10;1314;21141;SALE;-1;-31.14;CLIENTE
2023-01-11;841;15589;DELIVERY;1;26.15;CD 2
2023-01-11;1314;18064;SALE;-1;-3.89;CLIENTE
2023-01-11;1314;36857;SALE;-1;-3.54;CLIENTE
2023-01-12;841;15589;SALE;-1;-26.15;CLIENTE
2023-01-12;1314;9607;DELIVERY;1;12.87;CD 2
2023-01-12;1314;18064;DELIVERY;2;7.78;CD 2
2023-01-12;1314;18064;SALE;-6;-23.34;CLIENTE
2023-01-12;1314;36857;SALE;-1;-3.54;CLIENTE
2023-01-12;1314;54554;DELIVERY;1;30.79;OUTROS
