date,location,product,product_name,is_promo,promo_uplift,lead_time_days,purchase_price,cost_of_ordering,forecast_demand,forecast_std,observed_demand,corrected_observed_demand,stockout_flag,mode
2024-10-01,1314,13315,BROMELIN SUSP 100ML,0,2.5,9.0,54.34,46.54,0.0,0.1856,0.0,0.0,0,rolling
2024-10-02,1314,13315,BROMELIN SUSP 100ML,0,2.5,9.0,54.34,46.54,0.0,0.1856,0.0,0.0,0,rolling
2024-10-03,1314,13315,BROMELIN SUSP 100ML,0,2.5,9.0,54.34,46.54,0.0,0.1856,0.0,0.0,0,rolling
2024-10-04,1314,13315,BROMELIN SUSP 100ML,0,2.5,9.0,54.34,46.54,0.0,0.1856,0.0,0.0,0,rolling
2024-10-05,1314,13315,BROMELIN SUSP 100ML,0,2.5,9.0,54.34,46.54,0.0437,0.1856,0.0,0.0,0,rolling
2024-10-06,1314,13315,BROMELIN SUSP 100ML,0,2.5,9.0,54.34,46.54,0.0437,0.1856,0.0,0.0,0,rolling
2024-10-07,1314,13315,BROMELIN SUSP 100ML,0,2.5,9.0,54.34,46.54,0.0,0.1324,0.0,0.0,0,rolling
2024-10-08,1314,13315,BROMELIN SUSP 100ML,0,2.5,9.0,54.34,46.54,0.0,0.1324,0.0,0.0,0,rolling
2024-10-09,1314,13315,BROMELIN SUSP 100ML,0,2.5,9.0,54.34,46.54,0.0,0.1324,1.0,1.0,0,rolling
2024-10-10,1314,13315,BROMELIN SUSP 100ML,0,2.5,9.0,54.34,46.54,0.0161,0.1856,0.0,0.0,0,rolling
2024-10-11,1314,13315,BROMELIN SUSP 100ML,0,2.5,9.0,54.34,46.54,0.0161,0.1856,0.0,0.0,0,rolling
2024-10-12,1314,13315,BROMELIN SUSP 100ML,0,2.5,9.0,54.34,46.54,0.0598,0.1856,0.0,0.0,0,rolling
2024-10-13,1314,13315,BROMELIN SUSP 100ML,0,2.5,9.0,54.34,46.54,0.0161,0.1856,0.0,0.0,0,rolling
2024-10-14,1314,13315,BROMELIN SUSP 100ML,0,2.5,9.0,54.34,46.54,0.0161,0.1856,0.0,0.0,0,rolling
2024-10-15,1314,13315,BROMELIN SUSP 100ML,0,2.5,9.0,54.34,46.54,0.0161,0.1856,0.0,0.0,0,rolling
2024-10-16,1314,13315,BROMELIN SUSP 100ML,0,2.5,9.0,54.34,46.54,0.0598,0.1856,0.0,0.0,0,rolling
2024-10-17,1314,13315,BROMELIN SUSP 100ML,0,2.5,9.0,54.34,46.54,0.0161,0.1856,0.0,0.0,0,rolling
2024-10-18,1314,13315,BROMELIN SUSP 100ML,0,2.5,9.0,54.34,46.54,0.0161,0.1856,0.0,0.0,0,rolling
2024-10-19,1314,13315,BROMELIN SUSP 100ML,0,2.5,9.0,54.34,46.54,0.0598,0.1856,0.0,0.0,0,rolling
2024-10-20,1314,13315,BROMELIN SUSP 100ML,0,2.5,9.0,54.34,46.54,0.0161,0.1856,0.0,0.0,0,rolling
2024-10-21,1314,13315,BROMELIN SUSP 100ML,0,2.5,9.0,54.34,46.54,0.0161,0.1856,0.0,0.0,0,rolling
2024-10-22,1314,13315,BROMELIN SUSP 100ML,0,2.5,9.0,54.34,46.54,0.0161,0.1856,0.0,0.0,0,rolling
2024-10-23,1314,13315,BROMELIN SUSP 100ML,0,2.5,9.0,54.34,46.54,0.0598,0.1856,0.0,0.0,0,rolling
2024-10-24,1314,13315,BROMELIN SUSP 100ML,0,2.5,9.0,54.34,46.54,0.0161,0.1856,0.0,0.0,0,rolling
2024-10-25,1314,13315,BROMELIN SUSP 100ML,0,2.5,9.0,54.34,46.54,0.0161,0.1856,0.0,0.0,0,rolling
2024-10-26,1314,13315,BROMELIN SUSP 100ML,0,2.5,9.0,54.34,46.54,0.0598,0.1856,0.0,0.0,0,rolling
2024-10-27,1314,13315,BROMELIN SUSP 100ML,0,2.5,9.0,54.34,46.54,0.0161,0.1324,0.0,0.0,0,rolling
2024-10-28,1314,13315,BROMELIN SUSP 100ML,0,2.5,9.0,54.34,46.54,0.0161,0.1324,0.0,0.0,0,rolling
2024-10-29,1314,13315,BROMELIN SUSP 100ML,0,2.5,9.0,54.34,46.54,0.0161,0.1324,0.0,0.0,0,rolling
2024-10-30,1314,13315,BROMELIN SUSP 100ML,0,2.5,9.0,54.34,46.54,0.0598,0.1324,0.0,0.0,0,rolling
2024-10-31,1314,13315,BROMELIN SUSP 100ML,0,2.5,9.0,54.34,46.54,0.0161,0.1324,0.0,0.0,0,rolling
2024-11-01,1314,13315,BROMELIN SUSP 100ML,0,2.5,9.0,54.34,46.54,0.0161,0.1324,0.0,0.0,0,rolling
2024-11-02,1314,13315,BROMELIN SUSP 100ML,0,2.5,9.0,54.34,46.54,0.0294,0.1324,0.0,0.0,0,rolling
2024-11-03,1314,13315,BROMELIN SUSP 100ML,0,2.5,9.0,54.34,46.54,0.0294,0.1324,0.0,0.0,0,rolling
2024-11-04,1314,13315,BROMELIN SUSP 100ML,0,2.5,9.0,54.34,46.54,0.0294,0.1324,0.0,0.0,0,rolling
2024-11-05,1314,13315,BROMELIN SUSP 100ML,0,2.5,9.0,54.34,46.54,0.0294,0.1324,0.0,0.0,0,rolling
2024-11-06,1314,13315,BROMELIN SUSP 100ML,0,2.5,9.0,54.34,46.54,0.0732,0.1324,2.0,2.0,0,rolling
2024-11-07,1314,13315,BROMELIN SUSP 100ML,0,2.5,9.0,54.34,46.54,0.0455,0.294,0.0,0.0,0,rolling
2024-11-08,1314,13315,BROMELIN SUSP 100ML,0,2.5,9.0,54.34,46.54,0.0455,0.294,0.0,0.0,0,rolling
2024-11-09,1314,13315,BROMELIN SUSP 100ML,0,2.5,9.0,54.34,46.54,0.0455,0.294,0.0,0.0,0,rolling
2024-11-10,1314,13315,BROMELIN SUSP 100ML,0,2.5,9.0,54.34,46.54,0.0455,0.294,0.0,0.0,0,rolling
2024-11-11,1314,13315,BROMELIN SUSP 100ML,0,2.5,9.0,54.34,46.54,0.0455,0.294,0.0,0.0,0,rolling
2024-11-12,1314,13315,BROMELIN SUSP 100ML,0,2.5,9.0,54.34,46.54,0.0455,0.294,0.0,0.0,0,rolling
2024-11-13,1314,13315,BROMELIN SUSP 100ML,0,2.5,9.0,54.34,46.54,0.1767,0.294,0.0,0.0,0,rolling
2024-11-14,1314,13315,BROMELIN SUSP 100ML,0,2.5,9.0,54.34,46.54,0.0455,0.294,0.0,0.0,0,rolling
2024-11-15,1314,13315,BROMELIN SUSP 100ML,0,2.5,9.0,54.34,46.54,0.0588,0.294,0.0,0.0,0,rolling
2024-11-16,1314,13315,BROMELIN SUSP 100ML,0,2.5,9.0,54.34,46.54,0.0588,0.294,0.0,0.0,0,rolling
2024-11-17,1314,13315,BROMELIN SUSP 100ML,0,2.5,9.0,54.34,46.54,0.0455,0.294,0.0,0.0,0,rolling
2024-11-18,1314,13315,BROMELIN SUSP 100ML,0,2.5,9.0,54.34,46.54,0.0455,0.294,0.0,0.0,0,rolling
2024-11-19,1314,13315,BROMELIN SUSP 100ML,0,2.5,9.0,54.34,46.54,0.0455,0.294,0.0,0.0,0,rolling
2024-11-20,1314,13315,BROMELIN SUSP 100ML,0,2.5,9.0,54.34,46.54,0.1767,0.294,0.0,0.0,0,rolling
2024-11-21,1314,13315,BROMELIN SUSP 100ML,0,2.5,9.0,54.34,46.54,0.0455,0.294,0.0,0.0,0,rolling
2024-11-22,1314,13315,BROMELIN SUSP 100ML,0,2.5,9.0,54.34,46.54,0.0455,0.294,0.0,0.0,0,rolling
2024-11-23,1314,13315,BROMELIN SUSP 100ML,0,2.5,9.0,54.34,46.54,0.0455,0.294,0.0,0.0,0,rolling
2024-11-24,1314,13315,BROMELIN SUSP 100ML,0,2.5,9.0,54.34,46.54,0.0455,0.294,0.0,0.0,0,rolling
