location,product,product_name,mean_daily_forecast,std_daily_forecast,total_forecast_q4,promo_days_q4,lead_time_days,purchase_price,cost_of_ordering,suggested_reorder_point_s,suggested_order_up_to_S
1314,13315,BROMELIN SUSP 100ML,0.04880108695652174,0.25333478260869563,4.4897,0,9.0,54.34,46.54,2.0,3.0
1314,1439,SORINE GTS ADULTO 30ML,0.11230652173913044,0.3220945652173913,10.3322,0,9.0,20.27,19.0,3.0,4.0
1314,15496,TAMIFLU 75MG CAPS C/10,0.0,0.0,0.0,0,9.0,270.61,249.25,0.0,0.0
1314,15589,ANTUX XAROPE 120ML,0.21718260869565215,0.43353152173913045,19.9808,0,9.0,34.77,32.02,5.0,7.0
1314,15590,ANTUX GTS 20ML,0.013522826086956522,0.07051739130434782,1.2441,0,9.0,45.02,42.19,1.0,2.0
1314,18064,NEOSORO SOLUCAO NASAL ADULTO 30ML,12.579921739130434,4.904434782608696,1157.3528,31,9.0,8.93,4.28,138.0,227.0
1314,20635,ABRILAR XAROPE 100ML,0.31548804347826087,0.5322978260869565,29.0249,0,9.0,34.83,29.62,6.0,9.0
1314,21141,PERCOF XAROPE 120ML,0.3454108695652174,0.569629347826087,31.7778,0,9.0,33.92,31.81,6.0,9.0
1314,31330,ABRILAR XAROPE 200ML,0.06944239130434783,0.2446054347826087,6.3887,0,9.0,76.37,65.22,2.0,3.0
1314,35416,EXPECTAMIN XAROPE 120ML,0.055578260869565216,0.1191782608695652,5.1132,0,9.0,23.52,15.48,2.0,3.0
1314,35772,EMSEXPECTOR XAROPE 120ML,0.0666282608695652,0.3174913043478261,6.1297999999999995,0,9.0,23.11,16.75,3.0,4.0
1314,36857,NARIX ADULTO 30ML,0.21236086956521738,0.5933858695652173,19.5372,9,9.0,7.33,3.97,5.0,7.0
1314,42076,HEDRA EXPEC XAROPE 100ML,0.0,0.0,0.0,0,9.0,21.17,15.89,0.0,0.0
1314,44217,BROMELIN S 100ML,0.042305434782608696,0.18585978260869565,3.8921,0,9.0,55.77,43.09,2.0,3.0
1314,48812,ARLIVRY XAROPE CEREJA 100ML,0.060242391304347824,0.2386771739130435,5.5423,0,9.0,21.9,8.98,2.0,3.0
1314,48813,ARLIVRY XAROPE MEL 100ML,0.08435652173913043,0.33051521739130435,7.7608,0,9.0,27.51,8.98,3.0,4.0
1314,51957,HEDERA CIMED 7MG 100ML,0.015944565217391304,0.08059130434782609,1.4668999999999999,0,9.0,35.63,14.95,1.0,2.0
1314,5345,NARIDRIN ADULTO 15ML,0.16946195652173915,0.37684673913043476,15.5905,0,9.0,17.68,8.94,4.0,6.0
1314,54554,ALOFF XPE 60ML,0.0,0.0,0.0,0,9.0,33.04,30.79,0.0,0.0
1314,55917,POLARATUSS LIQ 120ML,0.0,0.0,0.0,0,9.0,29.53,10.88,0.0,0.0
1314,57814,OSELTAMIVIR 75MG CAPS/10 GN-NATCOF,0.00925,0.0855391304347826,0.851,14,9.0,175.88,146.1,1.0,2.0
1314,57816,OSELTAMIVIR 30MG CAPS/10 GN-NATCOF,0.023636956521739128,0.16441739130434782,2.1746,14,9.0,70.35,60.33,2.0,3.0
1314,57817,OSELTAMIVIR 45MG CAPS/10 GN-NATCOF,0.0,0.0,0.0,14,9.0,105.53,91.34,0.0,0.0
1314,57912,LORATAMED D XPE 60ML,0.0,0.0,0.0,0,9.0,23.87,13.67,0.0,0.0
1314,58701,ABRILAR XAROPE L-MENTOL 200ML,0.005449999999999999,0.0331,0.5014,0,9.0,65.43,55.87,1.0,2.0
1314,62364,ALOFF XPE 60ML + SER,0.0,0.0,0.0,0,9.0,36.45,34.49,0.0,0.0
1314,62782,HEDERA CIMED 7MG/ML CEREJA XPE100ML,0.0,0.0,0.0,0,9.0,37.26,13.61,0.0,0.0
1314,76834,"SORINAN ADULTO 0,5MG SOL NASAL 30ML",0.00775,0.06044347826086956,0.713,0,9.0,8.55,5.22,1.0,2.0
1314,9607,NARIDRIN 12H ADULTO 30ML,0.5730717391304347,0.7294445652173913,52.7226,0,9.0,28.36,14.31,9.0,14.0
841,13315,BROMELIN SUSP 100ML,0.0,0.0,0.0,0,3.0,55.89,18.29,0.0,0.0
841,1439,SORINE GTS ADULTO 30ML,0.022221739130434782,0.18536086956521738,2.0444,0,3.0,20.84,15.49,1.0,2.0
841,15496,TAMIFLU 75MG CAPS C/10,0.0,0.0,0.0,0,3.0,277.3,203.05,0.0,0.0
841,15589,ANTUX XAROPE 120ML,0.09650217391304347,0.2740706521739131,8.8782,0,3.0,35.77,26.08,2.0,3.0
841,15590,ANTUX GTS 20ML,0.010870652173913043,0.08059130434782609,1.0001,0,3.0,46.3,34.63,1.0,2.0
841,18064,NEOSORO SOLUCAO NASAL ADULTO 30ML,1.9174315217391302,1.7668858695652176,176.4037,31,3.0,9.19,2.57,11.0,25.0
841,20635,ABRILAR XAROPE 100ML,0.023742391304347826,0.1604782608695652,2.1843,0,3.0,35.82,23.5,1.0,2.0
841,21141,PERCOF XAROPE 120ML,0.1042336956521739,0.32889021739130436,9.5895,0,3.0,34.89,25.97,2.0,3.0
841,31330,ABRILAR XAROPE 200ML,0.0,0.0,0.0,0,3.0,78.55,51.06,0.0,0.0
841,35416,EXPECTAMIN XAROPE 120ML,0.01598913043478261,0.08178695652173912,1.471,0,3.0,24.19,11.26,1.0,2.0
841,35772,EMSEXPECTOR XAROPE 120ML,0.01993695652173913,0.08357391304347826,1.8341999999999998,0,3.0,23.77,12.57,1.0,2.0
841,36857,NARIX ADULTO 30ML,0.06752065217391304,0.1814391304347826,6.2119,9,3.0,7.54,2.6,1.0,2.0
841,42076,HEDRA EXPEC XAROPE 100ML,0.008225,0.07771304347826087,0.7567,0,3.0,21.17,8.35,1.0,2.0
841,44217,BROMELIN S 100ML,0.0,0.0,0.0,0,3.0,57.36,32.88,0.0,0.0
841,48812,ARLIVRY XAROPE CEREJA 100ML,0.00965,0.09642173913043477,0.8878,0,3.0,21.9,7.49,1.0,2.0
841,48813,ARLIVRY XAROPE MEL 100ML,0.025072826086956525,0.1742641304347826,2.3067,0,3.0,27.51,7.49,1.0,2.0
841,51957,HEDERA CIMED 7MG 100ML,0.006521739130434782,0.0,0.6,0,3.0,36.64,7.71,1.0,2.0
841,5345,NARIDRIN ADULTO 15ML,0.05554130434782609,0.22018804347826088,5.1098,0,3.0,18.19,5.56,1.0,2.0
841,54554,ALOFF XPE 60ML,0.0,0.0,0.0,0,3.0,33.04,18.81,0.0,0.0
841,55917,POLARATUSS LIQ 120ML,0.0,0.0,0.0,0,3.0,30.38,9.13,0.0,0.0
841,57814,OSELTAMIVIR 75MG CAPS/10 GN-NATCOF,0.02358804347826087,0.14515652173913043,2.1701,14,3.0,180.22,101.38,1.0,2.0
841,57816,OSELTAMIVIR 30MG CAPS/10 GN-NATCOF,0.020628260869565217,0.1502826086956522,1.8978,14,3.0,72.09,43.8,1.0,2.0
841,57817,OSELTAMIVIR 45MG CAPS/10 GN-NATCOF,0.013800000000000002,0.11081304347826086,1.2696,14,3.0,108.14,65.71,1.0,2.0
841,57912,LORATAMED D XPE 60ML,0.0,0.0,0.0,0,3.0,24.54,8.79,0.0,0.0
841,58701,ABRILAR XAROPE L-MENTOL 200ML,0.008225,0.07771304347826087,0.7567,0,3.0,65.43,42.99,1.0,2.0
841,62364,ALOFF XPE 60ML + SER,0.0,0.0,0.0,0,3.0,37.49,27.94,0.0,0.0
841,62782,HEDERA CIMED 7MG/ML CEREJA XPE100ML,0.00035,0.0028782608695652172,0.0322,0,3.0,38.33,8.02,1.0,2.0
841,76834,"SORINAN ADULTO 0,5MG SOL NASAL 30ML",0.0,0.0,0.0,0,3.0,9.19,3.34,0.0,0.0
841,9607,NARIDRIN 12H ADULTO 30ML,0.1706467391304348,0.4089771739130435,15.6995,0,3.0,29.17,8.91,2.0,4.0
