location,product,product_name,mean_daily_forecast,std_daily_forecast,total_forecast_q4,promo_days_q4,lead_time_days,purchase_price,cost_of_ordering,suggested_reorder_point_s,suggested_order_up_to_S
1314,13315,BROMELIN SUSP 100ML,0.018869565217391304,0.1873,1.736,0,9.0,54.34,46.54,2.0,3.0
1314,1439,SORINE GTS ADULTO 30ML,0.14629891304347825,0.3844,13.4595,0,9.0,20.27,19.0,4.0,6.0
1314,15496,TAMIFLU 75MG CAPS C/10,0.0,0.0,0.0,0,9.0,270.61,249.25,0.0,0.0
1314,15589,ANTUX XAROPE 120ML,0.3174358695652174,0.5536,29.2041,0,9.0,34.77,32.02,6.0,9.0
1314,15590,ANTUX GTS 20ML,0.02879673913043478,0.1336,2.6492999999999998,0,9.0,45.02,42.19,1.0,2.0
1314,18064,NEOSORO SOLUCAO NASAL ADULTO 30ML,13.874884782608694,5.4715,1276.4894,31,9.0,8.93,4.28,152.0,250.0
1314,20635,ABRILAR XAROPE 100ML,0.3414065217391304,0.5284,31.409399999999998,0,9.0,34.83,29.62,6.0,9.0
1314,21141,PERCOF XAROPE 120ML,0.2714304347826087,0.4941,24.9716,0,9.0,33.92,31.81,5.0,7.0
1314,31330,ABRILAR XAROPE 200ML,0.07355869565217392,0.2599,6.7674,0,9.0,76.37,65.22,2.0,3.0
1314,35416,EXPECTAMIN XAROPE 120ML,0.039563043478260874,0.0,3.6398,0,9.0,23.52,15.48,1.0,2.0
1314,35772,EMSEXPECTOR XAROPE 120ML,0.09614021739130434,0.2877,8.844899999999999,0,9.0,23.11,16.75,3.0,4.0
1314,36857,NARIX ADULTO 30ML,0.31222934782608697,0.8026000000000001,28.7251,9,9.0,7.33,3.97,7.0,10.0
1314,42076,HEDRA EXPEC XAROPE 100ML,0.0,0.0,0.0,0,9.0,21.17,15.89,0.0,0.0
1314,44217,BROMELIN S 100ML,0.076075,0.2877,6.9989,0,9.0,55.77,43.09,3.0,4.0
1314,48812,ARLIVRY XAROPE CEREJA 100ML,0.11440760869565217,0.3121,10.5255,0,9.0,21.9,8.98,3.0,4.0
1314,48813,ARLIVRY XAROPE MEL 100ML,0.15030000000000002,0.3865,13.8276,0,9.0,27.51,8.98,4.0,6.0
1314,51957,HEDERA CIMED 7MG 100ML,0.007244565217391304,0.0,0.6665,0,9.0,35.63,14.95,1.0,2.0
1314,5345,NARIDRIN ADULTO 15ML,0.19533043478260873,0.41679999999999995,17.9704,0,9.0,17.68,8.94,4.0,6.0
1314,54554,ALOFF XPE 60ML,0.0,0.0,0.0,0,9.0,33.04,30.79,0.0,0.0
1314,55917,POLARATUSS LIQ 120ML,0.0,0.0,0.0,0,9.0,29.53,10.88,0.0,0.0
1314,57814,OSELTAMIVIR 75MG CAPS/10 GN-NATCOF,0.02845,0.1873,2.6174,14,9.0,175.88,146.1,2.0,3.0
1314,57816,OSELTAMIVIR 30MG CAPS/10 GN-NATCOF,0.0667532608695652,0.2966,6.141299999999999,14,9.0,70.35,60.33,3.0,4.0
1314,57817,OSELTAMIVIR 45MG CAPS/10 GN-NATCOF,0.0,0.0,0.0,14,9.0,105.53,91.34,0.0,0.0
1314,57912,LORATAMED D XPE 60ML,0.0,0.0,0.0,0,9.0,23.87,13.67,0.0,0.0
1314,58701,ABRILAR XAROPE L-MENTOL 200ML,0.0,0.0,0.0,0,9.0,65.43,55.87,0.0,0.0
1314,62364,ALOFF XPE 60ML + SER,0.0,0.0,0.0,0,9.0,36.45,34.49,0.0,0.0
1314,62782,HEDERA CIMED 7MG/ML CEREJA XPE100ML,0.0,0.0,0.0,0,9.0,37.26,13.61,0.0,0.0
1314,76834,"SORINAN ADULTO 0,5MG SOL NASAL 30ML",0.0,0.0,0.0,0,9.0,8.55,5.22,0.0,0.0
1314,9607,NARIDRIN 12H ADULTO 30ML,0.6932858695652174,0.7305999999999999,63.7823,0,9.0,28.36,14.31,10.0,15.0
841,13315,BROMELIN SUSP 100ML,0.0,0.0,0.0,0,3.0,55.89,18.29,0.0,0.0
841,1439,SORINE GTS ADULTO 30ML,0.009069565217391305,0.1336,0.8344,0,3.0,20.84,15.49,1.0,2.0
841,15496,TAMIFLU 75MG CAPS C/10,0.0,0.0,0.0,0,3.0,277.3,203.05,0.0,0.0
841,15589,ANTUX XAROPE 120ML,0.07356630434782609,0.2599,6.7681000000000004,0,3.0,35.77,26.08,1.0,2.0
841,15590,ANTUX GTS 20ML,0.002168478260869565,0.0,0.19949999999999998,0,3.0,46.3,34.63,1.0,2.0
841,18064,NEOSORO SOLUCAO NASAL ADULTO 30ML,2.4558510869565215,2.1647,225.9383,31,3.0,9.19,2.57,14.0,32.0
841,20635,ABRILAR XAROPE 100ML,0.03062282608695652,0.1873,2.8173,0,3.0,35.82,23.5,1.0,2.0
841,21141,PERCOF XAROPE 120ML,0.18283152173913042,0.41400000000000003,16.8205,0,3.0,34.89,25.97,2.0,4.0
841,31330,ABRILAR XAROPE 200ML,0.0,0.0,0.0,0,3.0,78.55,51.06,0.0,0.0
841,35416,EXPECTAMIN XAROPE 120ML,0.03585,0.1873,3.2982,0,3.0,24.19,11.26,1.0,2.0
841,35772,EMSEXPECTOR XAROPE 120ML,0.0049271739130434785,0.0,0.45330000000000004,0,3.0,23.77,12.57,1.0,2.0
841,36857,NARIX ADULTO 30ML,0.019604347826086957,0.0,1.8036,9,3.0,7.54,2.6,1.0,2.0
841,42076,HEDRA EXPEC XAROPE 100ML,0.0,0.0,0.0,0,3.0,21.17,8.35,0.0,0.0
841,44217,BROMELIN S 100ML,0.0,0.0,0.0,0,3.0,57.36,32.88,0.0,0.0
841,48812,ARLIVRY XAROPE CEREJA 100ML,0.006175000000000001,0.1336,0.5681,0,3.0,21.9,7.49,1.0,2.0
841,48813,ARLIVRY XAROPE MEL 100ML,0.05065326086956522,0.2272,4.6601,0,3.0,27.51,7.49,1.0,2.0
841,51957,HEDERA CIMED 7MG 100ML,0.006521739130434782,0.0,0.6,0,3.0,36.64,7.71,1.0,2.0
841,5345,NARIDRIN ADULTO 15ML,0.04123913043478261,0.1873,3.794,0,3.0,18.19,5.56,1.0,2.0
841,54554,ALOFF XPE 60ML,0.0,0.0,0.0,0,3.0,33.04,18.81,0.0,0.0
841,55917,POLARATUSS LIQ 120ML,0.0,0.0,0.0,0,3.0,30.38,9.13,0.0,0.0
841,57814,OSELTAMIVIR 75MG CAPS/10 GN-NATCOF,0.013315217391304346,0.2673,1.2249999999999999,14,3.0,180.22,101.38,1.0,2.0
841,57816,OSELTAMIVIR 30MG CAPS/10 GN-NATCOF,0.0,0.0,0.0,14,3.0,72.09,43.8,0.0,0.0
841,57817,OSELTAMIVIR 45MG CAPS/10 GN-NATCOF,0.022275,0.1336,2.0493,14,3.0,108.14,65.71,1.0,2.0
841,57912,LORATAMED D XPE 60ML,0.0,0.0,0.0,0,3.0,24.54,8.79,0.0,0.0
841,58701,ABRILAR XAROPE L-MENTOL 200ML,0.0,0.0,0.0,0,3.0,65.43,42.99,0.0,0.0
841,62364,ALOFF XPE 60ML + SER,0.0,0.0,0.0,0,3.0,37.49,27.94,0.0,0.0
841,62782,HEDERA CIMED 7MG/ML CEREJA XPE100ML,0.0,0.0,0.0,0,3.0,38.33,8.02,0.0,0.0
841,76834,"SORINAN ADULTO 0,5MG SOL NASAL 30ML",0.0,0.0,0.0,0,3.0,9.19,3.34,0.0,0.0
841,9607,NARIDRIN 12H ADULTO 30ML,0.24898804347826087,0.5042,22.9069,0,3.0,29.17,8.91,3.0,5.0
