location,location_name,product,product_name,supplier,abc_class,service_level,actual_service_level,avg_inventory_value,actual_avg_inventory_value,avg_inventory_units,actual_avg_inventory_units,total_orders,total_order_units,total_ordering_cost,total_actual_demand,total_fulfilled_units,total_lost_sales_units,promo_days,forecast_units,stockout_days,actual_stockout_days,fill_rate,service_level_delta_vs_actual,inventory_value_delta_vs_actual,reorder_point_s,order_up_to_S,lead_time_days,z_value,review_days,purchase_price,sales_price,minimum_delivery_batch
1314,LOJA 1314,13315,BROMELIN SUSP 100ML,33104,C,0.8913043478260869,1.0,102.18282608695652,159.5807594936709,1.8804347826086956,2.9367088607594938,2,5,93.08,6.0,6.0,0.0,0,0.0,10,0,1.0,-0.10869565217391308,-57.39793340671439,1,3,9,0.0,0,54.34,66.14,1
1314,LOJA 1314,1439,SORINE GTS ADULTO 30ML,334,B,1.0,1.0,135.28021739130435,117.5146835443038,6.673913043478261,5.7974683544303796,2,7,38.0,8.0,8.0,0.0,0,0.0,0,0,1.0,0.0,17.765533847000555,6,9,9,0.0,0,20.27,23.45,1
1314,LOJA 1314,15496,TAMIFLU 75MG CAPS C/10,30697,C,1.0,1.0,541.22,,2.0,,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,1.0,0.0,,1,2,9,0.0,0,270.61,374.1,1
1314,LOJA 1314,15589,ANTUX XAROPE 120ML,334,A,1.0,1.0,287.2304347826087,318.6516455696203,8.26086956521739,9.164556962025317,3,18,96.06,16.0,16.0,0.0,0,0.0,0,0,1.0,0.0,-31.421210787011603,6,12,9,0.0,0,34.77,41.16,1
1314,LOJA 1314,15590,ANTUX GTS 20ML,334,C,1.0,1.0,179.10130434782607,90.04,3.9782608695652173,2.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,1.0,0.0,89.06130434782607,3,4,9,0.0,0,45.02,59.25,1
1314,LOJA 1314,18064,NEOSORO SOLUCAO NASAL ADULTO 30ML,45151,A,1.0,1.0,1495.2896739130433,664.6632911392405,167.44565217391303,74.43037974683544,5,829,21.400000000000002,854.0,854.0,0.0,31,0.0,0,0,1.0,0.0,830.6263827738028,180,339,9,0.0,0,8.93,7.86,1
1314,LOJA 1314,20635,ABRILAR XAROPE 100ML,87021,A,0.9782608695652174,1.0,158.24934782608696,302.00696202531645,4.543478260869565,8.670886075949367,7,28,207.34,28.0,27.0,1.0,0,0.0,2,0,0.9642857142857143,-0.021739130434782594,-143.7576141992295,5,9,9,0.0,0,34.83,41.5,1
1314,LOJA 1314,21141,PERCOF XAROPE 120ML,96108,A,1.0,1.0,192.45913043478262,343.06430379746837,5.673913043478261,10.113924050632912,6,36,190.85999999999999,34.0,34.0,0.0,0,0.0,0,0,1.0,0.0,-150.60517336268575,6,12,9,0.0,0,33.92,45.21,1
1314,LOJA 1314,31330,ABRILAR XAROPE 200ML,87021,B,1.0,1.0,485.6135869565218,272.6118987341772,6.358695652173913,3.569620253164557,6,6,391.32,5.0,5.0,0.0,0,0.0,0,0,1.0,0.0,213.00168822234457,6,7,9,0.0,0,76.37,91.1,1
1314,LOJA 1314,35416,EXPECTAMIN XAROPE 120ML,102013,C,1.0,1.0,117.60000000000001,111.05012658227847,5.0,4.7215189873417724,1,6,15.48,3.0,3.0,0.0,0,0.0,0,0,1.0,0.0,6.5498734177215425,3,9,9,0.0,0,23.52,25.52,1
1314,LOJA 1314,35772,EMSEXPECTOR XAROPE 120ML,173,C,1.0,1.0,100.47826086956522,82.4939240506329,4.3478260869565215,3.569620253164557,5,6,83.75,6.0,6.0,0.0,0,0.0,0,0,1.0,0.0,17.98433681893232,4,5,9,0.0,0,23.11,14.9,1
1314,LOJA 1314,36857,NARIX ADULTO 30ML,51356,C,1.0,1.0,55.29369565217391,73.3,7.543478260869565,10.0,4,20,15.88,17.0,17.0,0.0,9,0.0,0,0,1.0,0.0,-18.006304347826088,7,12,9,0.0,0,7.33,8.39,1
