location,product,product_name,z_value,review_days,validation_service_level,validation_avg_inventory_value,validation_total_ordering_cost
1314,13315,BROMELIN SUSP 100ML,0.84,5,1.0,108.0893,93.08
1314,1439,SORINE GTS ADULTO 30ML,0.84,5,1.0,88.1304,114.0
1314,15496,TAMIFLU 75MG CAPS C/10,0.84,5,1.0,541.22,0.0
1314,15589,ANTUX XAROPE 120ML,0.84,5,1.0,227.5167,320.2
1314,15590,ANTUX GTS 20ML,0.84,5,1.0,81.2317,84.38
1314,18064,NEOSORO SOLUCAO NASAL ADULTO 30ML,0.84,5,1.0,1461.2198,38.52
1314,20635,ABRILAR XAROPE 100ML,0.84,5,1.0,199.8939,266.58
1314,21141,PERCOF XAROPE 120ML,0.84,5,1.0,122.7757,413.53
1314,31330,ABRILAR XAROPE 200ML,2.05,5,1.0,195.0755,260.88
1314,35416,EXPECTAMIN XAROPE 120ML,0.84,14,1.0,88.967,30.96
1314,35772,EMSEXPECTOR XAROPE 120ML,2.58,5,0.967391,51.7463,117.25
1314,36857,NARIX ADULTO 30ML,1.65,7,1.0,48.6011,27.79
1314,42076,HEDRA EXPEC XAROPE 100ML,0.84,5,1.0,42.34,0.0
1314,44217,BROMELIN S 100ML,0.84,5,1.0,130.3321,301.63
1314,48812,ARLIVRY XAROPE CEREJA 100ML,0.84,10,1.0,51.1793,44.9
1314,48813,ARLIVRY XAROPE MEL 100ML,0.84,5,1.0,69.6721,134.7
1314,51957,HEDERA CIMED 7MG 100ML,0.84,5,1.0,71.26,0.0
1314,5345,NARIDRIN ADULTO 15ML,2.05,5,0.978261,104.927,107.28
1314,54554,ALOFF XPE 60ML,0.84,5,1.0,66.08,0.0
1314,55917,POLARATUSS LIQ 120ML,0.84,5,1.0,59.06,0.0
1314,57814,OSELTAMIVIR 75MG CAPS/10 GN-NATCOF,0.84,5,1.0,321.1722,292.2
1314,57816,OSELTAMIVIR 30MG CAPS/10 GN-NATCOF,0.84,5,0.934783,131.5239,60.33
1314,57817,OSELTAMIVIR 45MG CAPS/10 GN-NATCOF,0.84,5,1.0,211.06,0.0
1314,57912,LORATAMED D XPE 60ML,0.84,5,1.0,45.1454,13.67
1314,58701,ABRILAR XAROPE L-MENTOL 200ML,0.84,5,1.0,123.748,55.87
1314,62364,ALOFF XPE 60ML + SER,0.84,5,1.0,71.3152,0.0
1314,62782,HEDERA CIMED 7MG/ML CEREJA XPE100ML,0.84,5,1.0,74.52,0.0
1314,76834,"SORINAN ADULTO 0,5MG SOL NASAL 30ML",0.84,5,1.0,17.1,0.0
1314,9607,NARIDRIN 12H ADULTO 30ML,1.28,5,0.978261,157.213,243.27
841,13315,BROMELIN SUSP 100ML,0.84,5,1.0,111.78,0.0
841,1439,SORINE GTS ADULTO 30ML,0.84,5,1.0,39.8678,30.98
841,15496,TAMIFLU 75MG CAPS C/10,0.84,5,1.0,554.6,0.0
841,15589,ANTUX XAROPE 120ML,0.84,5,1.0,106.5324,52.16
841,15590,ANTUX GTS 20ML,0.84,5,1.0,138.9,0.0
841,18064,NEOSORO SOLUCAO NASAL ADULTO 30ML,0.84,5,1.0,143.5438,28.27
841,20635,ABRILAR XAROPE 100ML,0.84,5,1.0,66.9678,70.5
841,21141,PERCOF XAROPE 120ML,0.84,5,0.978261,102.0153,233.73
841,31330,ABRILAR XAROPE 200ML,0.84,5,1.0,153.6848,51.06
841,35416,EXPECTAMIN XAROPE 120ML,0.84,5,1.0,46.2765,22.52
841,35772,EMSEXPECTOR XAROPE 120ML,0.84,5,1.0,47.54,0.0
841,36857,NARIX ADULTO 30ML,0.84,5,0.98913,14.0965,7.8
841,42076,HEDRA EXPEC XAROPE 100ML,0.84,5,1.0,84.68,0.0
841,44217,BROMELIN S 100ML,0.84,5,1.0,114.72,0.0
841,48812,ARLIVRY XAROPE CEREJA 100ML,0.84,5,1.0,42.8478,7.49
841,48813,ARLIVRY XAROPE MEL 100ML,0.84,5,1.0,53.2259,22.47
841,51957,HEDERA CIMED 7MG 100ML,0.84,5,1.0,73.28,0.0
841,5345,NARIDRIN ADULTO 15ML,0.84,5,1.0,56.7449,11.12
841,54554,ALOFF XPE 60ML,0.84,5,1.0,66.08,0.0
841,55917,POLARATUSS LIQ 120ML,0.84,5,1.0,59.4391,9.13
841,57814,OSELTAMIVIR 75MG CAPS/10 GN-NATCOF,0.84,5,1.0,489.7283,506.9
841,57816,OSELTAMIVIR 30MG CAPS/10 GN-NATCOF,0.84,5,1.0,210.0013,87.6
841,57817,OSELTAMIVIR 45MG CAPS/10 GN-NATCOF,0.84,5,1.0,210.4028,65.71
841,57912,LORATAMED D XPE 60ML,0.84,5,1.0,98.16,0.0
841,58701,ABRILAR XAROPE L-MENTOL 200ML,0.84,5,1.0,130.86,0.0
841,62364,ALOFF XPE 60ML + SER,0.84,5,1.0,74.98,0.0
841,62782,HEDERA CIMED 7MG/ML CEREJA XPE100ML,0.84,5,1.0,76.66,0.0
841,76834,"SORINAN ADULTO 0,5MG SOL NASAL 30ML",0.84,5,1.0,18.38,0.0
841,9607,NARIDRIN 12H ADULTO 30ML,0.84,10,0.978261,96.7049,53.46
