location,product,product_name,z_value,review_days,objective,service_level,actual_service_level,service_level_delta_vs_actual,avg_inventory_value,actual_avg_inventory_value,inventory_value_delta_vs_actual,total_ordering_cost,total_lost_sales_units,total_orders,total_forecast_units,total_actual_units,horizon_days,series_days
1314,13315,BROMELIN SUSP 100ML,0.84,5,109.101,1.0,1.0,0.0,108.0893,127.2519,-19.1626,93.08,0.0,2,1.101,4.0,92,92
1314,13315,BROMELIN SUSP 100ML,0.84,7,109.101,1.0,1.0,0.0,108.0893,127.2519,-19.1626,93.08,0.0,2,1.101,4.0,92,92
1314,13315,BROMELIN SUSP 100ML,0.84,10,109.101,1.0,1.0,0.0,108.0893,127.2519,-19.1626,93.08,0.0,2,1.101,4.0,92,92
1314,13315,BROMELIN SUSP 100ML,0.84,14,109.101,1.0,1.0,0.0,108.0893,127.2519,-19.1626,93.08,0.0,2,1.101,4.0,92,92
1314,13315,BROMELIN SUSP 100ML,1.04,5,109.101,1.0,1.0,0.0,108.0893,127.2519,-19.1626,93.08,0.0,2,1.101,4.0,92,92
1314,13315,BROMELIN SUSP 100ML,1.04,7,109.101,1.0,1.0,0.0,108.0893,127.2519,-19.1626,93.08,0.0,2,1.101,4.0,92,92
1314,13315,BROMELIN SUSP 100ML,1.04,10,109.101,1.0,1.0,0.0,108.0893,127.2519,-19.1626,93.08,0.0,2,1.101,4.0,92,92
1314,13315,BROMELIN SUSP 100ML,1.04,14,109.101,1.0,1.0,0.0,108.0893,127.2519,-19.1626,93.08,0.0,2,1.101,4.0,92,92
1314,13315,BROMELIN SUSP 100ML,1.28,5,109.101,1.0,1.0,0.0,108.0893,127.2519,-19.1626,93.08,0.0,2,1.101,4.0,92,92
1314,13315,BROMELIN SUSP 100ML,1.28,7,109.101,1.0,1.0,0.0,108.0893,127.2519,-19.1626,93.08,0.0,2,1.101,4.0,92,92
1314,13315,BROMELIN SUSP 100ML,1.28,10,109.101,1.0,1.0,0.0,108.0893,127.2519,-19.1626,93.08,0.0,2,1.101,4.0,92,92
1314,13315,BROMELIN SUSP 100ML,1.28,14,109.101,1.0,1.0,0.0,108.0893,127.2519,-19.1626,93.08,0.0,2,1.101,4.0,92,92
1314,13315,BROMELIN SUSP 100ML,1.65,5,109.101,1.0,1.0,0.0,108.0893,127.2519,-19.1626,93.08,0.0,2,1.101,4.0,92,92
1314,13315,BROMELIN SUSP 100ML,1.65,7,109.101,1.0,1.0,0.0,108.0893,127.2519,-19.1626,93.08,0.0,2,1.101,4.0,92,92
1314,13315,BROMELIN SUSP 100ML,1.65,10,109.101,1.0,1.0,0.0,108.0893,127.2519,-19.1626,93.08,0.0,2,1.101,4.0,92,92
1314,13315,BROMELIN SUSP 100ML,1.65,14,109.101,1.0,1.0,0.0,108.0893,127.2519,-19.1626,93.08,0.0,2,1.101,4.0,92,92
1314,13315,BROMELIN SUSP 100ML,2.05,5,109.101,1.0,1.0,0.0,108.0893,127.2519,-19.1626,93.08,0.0,2,1.101,4.0,92,92
1314,13315,BROMELIN SUSP 100ML,2.05,7,109.101,1.0,1.0,0.0,108.0893,127.2519,-19.1626,93.08,0.0,2,1.101,4.0,92,92
1314,13315,BROMELIN SUSP 100ML,2.05,10,109.101,1.0,1.0,0.0,108.0893,127.2519,-19.1626,93.08,0.0,2,1.101,4.0,92,92
1314,13315,BROMELIN SUSP 100ML,2.05,14,109.101,1.0,1.0,0.0,108.0893,127.2519,-19.1626,93.08,0.0,2,1.101,4.0,92,92
1314,13315,BROMELIN SUSP 100ML,2.33,5,147.9993,1.0,1.0,0.0,146.4817,127.2519,19.2298,139.62,0.0,3,1.101,4.0,92,92
1314,13315,BROMELIN SUSP 100ML,2.33,7,147.9993,1.0,1.0,0.0,146.4817,127.2519,19.2298,139.62,0.0,3,1.101,4.0,92,92
1314,13315,BROMELIN SUSP 100ML,2.33,10,147.9993,1.0,1.0,0.0,146.4817,127.2519,19.2298,139.62,0.0,3,1.101,4.0,92,92
1314,13315,BROMELIN SUSP 100ML,2.33,14,147.9993,1.0,1.0,0.0,146.4817,127.2519,19.2298,139.62,0.0,3,1.101,4.0,92,92
1314,13315,BROMELIN SUSP 100ML,2.58,5,147.9993,1.0,1.0,0.0,146.4817,127.2519,19.2298,139.62,0.0,3,1.101,4.0,92,92
1314,13315,BROMELIN SUSP 100ML,2.58,7,147.9993,1.0,1.0,0.0,146.4817,127.2519,19.2298,139.62,0.0,3,1.101,4.0,92,92
1314,13315,BROMELIN SUSP 100ML,2.58,10,147.9993,1.0,1.0,0.0,146.4817,127.2519,19.2298,139.62,0.0,3,1.101,4.0,92,92
1314,13315,BROMELIN SUSP 100ML,2.58,14,147.9993,1.0,1.0,0.0,146.4817,127.2519,19.2298,139.62,0.0,3,1.101,4.0,92,92
1314,1439,SORINE GTS ADULTO 30ML,0.84,5,89.3695,1.0,0.978261,0.021739,88.1304,91.0867,-2.9563,114.0,0.0,6,23.3603,12.0,92,92
1314,1439,SORINE GTS ADULTO 30ML,0.84,7,89.3695,1.0,0.978261,0.021739,88.1304,91.0867,-2.9563,114.0,0.0,6,23.3603,12.0,92,92
1314,1439,SORINE GTS ADULTO 30ML,0.84,10,92.9224,1.0,0.978261,0.021739,92.0963,91.0867,1.0096,76.0,0.0,4,23.3603,12.0,92,92
1314,1439,SORINE GTS ADULTO 30ML,1.04,5,105.894,1.0,0.978261,0.021739,104.6549,91.0867,13.5682,114.0,0.0,6,23.3603,12.0,92,92
1314,1439,SORINE GTS ADULTO 30ML,1.04,7,105.894,1.0,0.978261,0.021739,104.6549,91.0867,13.5682,114.0,0.0,6,23.3603,12.0,92,92
1314,1439,SORINE GTS ADULTO 30ML,1.28,5,105.894,1.0,0.978261,0.021739,104.6549,91.0867,13.5682,114.0,0.0,6,23.3603,12.0,92,92
1314,1439,SORINE GTS ADULTO 30ML,1.28,7,105.894,1.0,0.978261,0.021739,104.6549,91.0867,13.5682,114.0,0.0,6,23.3603,12.0,92,92
1314,1439,SORINE GTS ADULTO 30ML,1.04,10,112.7518,1.0,0.978261,0.021739,111.9257,91.0867,20.8389,76.0,0.0,4,23.3603,12.0,92,92
1314,1439,SORINE GTS ADULTO 30ML,1.28,10,112.7518,1.0,0.978261,0.021739,111.9257,91.0867,20.8389,76.0,0.0,4,23.3603,12.0,92,92
1314,1439,SORINE GTS ADULTO 30ML,1.04,14,115.4095,1.0,0.978261,0.021739,114.7899,91.0867,23.7032,57.0,0.0,3,23.3603,12.0,92,92
1314,1439,SORINE GTS ADULTO 30ML,1.28,14,115.4095,1.0,0.978261,0.021739,114.7899,91.0867,23.7032,57.0,0.0,3,23.3603,12.0,92,92
1314,1439,SORINE GTS ADULTO 30ML,0.84,14,122.6803,1.0,0.978261,0.021739,122.0607,91.0867,30.9739,57.0,0.0,3,23.3603,12.0,92,92
1314,1439,SORINE GTS ADULTO 30ML,1.65,5,126.3843,1.0,0.978261,0.021739,125.1452,91.0867,34.0585,114.0,0.0,6,23.3603,12.0,92,92
1314,1439,SORINE GTS ADULTO 30ML,1.65,7,126.3843,1.0,0.978261,0.021739,125.1452,91.0867,34.0585,114.0,0.0,6,23.3603,12.0,92,92
1314,1439,SORINE GTS ADULTO 30ML,1.65,10,133.4624,1.0,0.978261,0.021739,132.6363,91.0867,41.5496,76.0,0.0,4,23.3603,12.0,92,92
1314,1439,SORINE GTS ADULTO 30ML,1.65,14,135.4592,1.0,0.978261,0.021739,134.8396,91.0867,43.7529,57.0,0.0,3,23.3603,12.0,92,92
1314,1439,SORINE GTS ADULTO 30ML,2.05,5,146.6543,1.0,0.978261,0.021739,145.4152,91.0867,54.3285,114.0,0.0,6,23.3603,12.0,92,92
1314,1439,SORINE GTS ADULTO 30ML,2.05,7,146.6543,1.0,0.978261,0.021739,145.4152,91.0867,54.3285,114.0,0.0,6,23.3603,12.0,92,92
1314,1439,SORINE GTS ADULTO 30ML,2.33,5,146.6543,1.0,0.978261,0.021739,145.4152,91.0867,54.3285,114.0,0.0,6,23.3603,12.0,92,92
1314,1439,SORINE GTS ADULTO 30ML,2.33,7,146.6543,1.0,0.978261,0.021739,145.4152,91.0867,54.3285,114.0,0.0,6,23.3603,12.0,92,92
1314,1439,SORINE GTS ADULTO 30ML,2.05,10,153.7324,1.0,0.978261,0.021739,152.9063,91.0867,61.8196,76.0,0.0,4,23.3603,12.0,92,92
1314,1439,SORINE GTS ADULTO 30ML,2.33,10,153.7324,1.0,0.978261,0.021739,152.9063,91.0867,61.8196,76.0,0.0,4,23.3603,12.0,92,92
1314,1439,SORINE GTS ADULTO 30ML,2.05,14,155.7292,1.0,0.978261,0.021739,155.1096,91.0867,64.0229,57.0,0.0,3,23.3603,12.0,92,92
1314,1439,SORINE GTS ADULTO 30ML,2.33,14,155.7292,1.0,0.978261,0.021739,155.1096,91.0867,64.0229,57.0,0.0,3,23.3603,12.0,92,92
1314,1439,SORINE GTS ADULTO 30ML,2.58,5,166.9243,1.0,0.978261,0.021739,165.6852,91.0867,74.5985,114.0,0.0,6,23.3603,12.0,92,92
1314,1439,SORINE GTS ADULTO 30ML,2.58,7,166.9243,1.0,0.978261,0.021739,165.6852,91.0867,74.5985,114.0,0.0,6,23.3603,12.0,92,92
1314,1439,SORINE GTS ADULTO 30ML,2.58,10,174.0024,1.0,0.978261,0.021739,173.1763,91.0867,82.0896,76.0,0.0,4,23.3603,12.0,92,92
1314,1439,SORINE GTS ADULTO 30ML,2.58,14,175.9992,1.0,0.978261,0.021739,175.3796,91.0867,84.2929,57.0,0.0,3,23.3603,12.0,92,92
1314,15496,TAMIFLU 75MG CAPS C/10,0.84,5,541.22,1.0,1.0,0.0,541.22,,,0.0,0.0,0,0.0,0.0,92,92
