location,location_name,product,product_name,supplier,mean_daily_forecast,std_daily_forecast,total_forecast_period,total_observed_period,promo_days_period,lead_time_days,purchase_price,sales_price,cost_of_ordering,minimum_delivery_batch,forecast_value_period,abc_class,z_value,review_days,reorder_point_s,order_up_to_S,statistical_reorder_point_s,statistical_order_up_to_S,empirical_floor_s,empirical_floor_S,seasonal_floor_s,seasonal_floor_S
1314,LOJA 1314,18064,NEOSORO SOLUCAO NASAL ADULTO 30ML,45151,12.300709782608694,5.4715,1131.6653,854.0,31,9,8.93,7.86,4.28,1,10105.771128999999,A,1.28,7,180,387,132,219,113,260,180,387
841,LOJA 841,18064,NEOSORO SOLUCAO NASAL ADULTO 30ML,45151,1.9069326086956522,2.1647,175.4378,103.0,31,3,9.19,9.02,2.57,1,1612.273382,B,0.84,7,9,36,9,23,8,28,8,36
1314,LOJA 1314,9607,NARIDRIN 12H ADULTO 30ML,173,0.6932858695652174,0.7305999999999999,63.7823,48.0,0,9,28.36,27.5,14.31,1,1808.866028,B,0.84,7,9,18,9,14,7,15,9,18
1314,LOJA 1314,21141,PERCOF XAROPE 120ML,96108,0.2714304347826087,0.4941,24.9716,34.0,0,9,33.92,45.21,31.81,1,847.036672,B,0.84,7,6,13,4,6,3,7,6,13
1314,LOJA 1314,20635,ABRILAR XAROPE 100ML,87021,0.3414065217391304,0.5284,31.409399999999998,28.0,0,9,34.83,41.5,29.62,1,1093.989402,B,0.84,7,5,10,5,8,5,10,3,8
1314,LOJA 1314,36857,NARIX ADULTO 30ML,51356,0.29725434782608695,0.8026000000000001,27.3474,17.0,9,9,7.33,8.39,3.97,1,200.456442,B,0.84,7,6,12,5,8,5,9,6,12
1314,LOJA 1314,15589,ANTUX XAROPE 120ML,334,0.3174358695652174,0.5536,29.2041,16.0,0,9,34.77,41.16,32.02,1,1015.4265570000001,B,0.84,7,6,15,5,8,5,12,6,15
841,LOJA 841,9607,NARIDRIN 12H ADULTO 30ML,173,0.24898804347826087,0.5042,22.9069,11.0,0,3,29.17,26.76,8.91,1,668.1942730000001,B,0.84,7,3,6,2,4,2,4,3,6
1314,LOJA 1314,5345,NARIDRIN ADULTO 15ML,173,0.19533043478260873,0.41679999999999995,17.9704,11.0,0,9,17.68,17.05,8.94,1,317.716672,B,0.84,7,4,15,3,5,4,9,4,15
841,LOJA 841,21141,PERCOF XAROPE 120ML,96108,0.18283152173913042,0.41400000000000003,16.8205,10.0,0,3,34.89,44.09,25.97,1,586.867245,B,0.84,7,3,4,2,4,2,4,3,4
841,LOJA 841,57814,OSELTAMIVIR 75MG CAPS/10 GN-NATCOF,105913,0.013315217391304346,0.2673,1.2249999999999999,9.0,14,3,180.22,183.2,101.38,1,220.76949999999997,B,0.84,7,1,3,1,2,1,3,0,0
1314,LOJA 1314,1439,SORINE GTS ADULTO 30ML,334,0.14629891304347825,0.3844,13.4595,8.0,0,9,20.27,23.45,19.0,1,272.824065,B,0.84,7,6,9,3,5,3,6,6,9
841,LOJA 841,15589,ANTUX XAROPE 120ML,334,0.07356630434782609,0.2599,6.7681000000000004,7.0,0,3,35.77,46.99,26.08,1,242.09493700000004,B,0.84,7,3,6,1,2,2,4,3,6
1314,LOJA 1314,48813,ARLIVRY XAROPE MEL 100ML,35610,0.15030000000000002,0.3865,13.8276,7.0,0,9,27.51,18.49,8.98,1,380.39727600000003,B,0.84,7,3,5,3,5,2,4,3,4
841,LOJA 841,5345,NARIDRIN ADULTO 15ML,173,0.04123913043478261,0.1873,3.794,7.0,0,3,18.19,15.1,5.56,1,69.01286,C,0.0,7,3,4,1,2,2,4,3,4
841,LOJA 841,36857,NARIX ADULTO 30ML,51356,0.017825,0.0,1.6399000000000001,6.0,9,3,7.54,6.5,2.6,1,12.364846000000002,C,0.0,7,3,4,1,2,2,3,3,4
1314,LOJA 1314,13315,BROMELIN SUSP 100ML,33104,0.018869565217391304,0.1873,1.736,6.0,0,9,54.34,66.14,46.54,1,94.33424000000001,C,0.0,7,1,3,1,2,1,3,1,2
