location,location_name,product,product_name,supplier,abc_class,service_level,actual_service_level,avg_inventory_value,actual_avg_inventory_value,avg_inventory_units,actual_avg_inventory_units,total_orders,total_order_units,total_ordering_cost,total_actual_demand,total_fulfilled_units,total_lost_sales_units,promo_days,forecast_units,stockout_days,actual_stockout_days,fill_rate,service_level_delta_vs_actual,inventory_value_delta_vs_actual,reorder_point_s,order_up_to_S,lead_time_days,z_value,review_days,purchase_price,sales_price,minimum_delivery_batch
1314,LOJA 1314,13315,BROMELIN SUSP 100ML,33104,C,1.0,1.0,73.2408695652174,159.5807594936709,1.3478260869565217,2.9367088607594938,5,6,232.7,6.0,6.0,0.0,0,1.736,0,0,1.0,0.0,-86.33988992845352,1,2,9,0.0,7,54.34,66.14,1
1314,LOJA 1314,1439,SORINE GTS ADULTO 30ML,334,C,1.0,1.0,87.24913043478261,117.5146835443038,4.304347826086956,5.7974683544303796,2,8,38.0,8.0,8.0,0.0,0,13.4595,0,0,1.0,0.0,-30.26555310952118,2,6,9,0.0,7,20.27,23.45,1
1314,LOJA 1314,15496,TAMIFLU 75MG CAPS C/10,30697,C,1.0,1.0,541.22,,2.0,,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,1.0,0.0,,1,2,9,0.0,7,270.61,374.1,1
1314,LOJA 1314,15589,ANTUX XAROPE 120ML,334,C,1.0,1.0,172.33826086956523,318.6516455696203,4.956521739130435,9.164556962025317,3,19,96.06,16.0,16.0,0.0,0,29.2041,0,0,1.0,0.0,-146.31338470005508,3,9,9,0.0,7,34.77,41.16,1
1314,LOJA 1314,15590,ANTUX GTS 20ML,334,C,1.0,1.0,179.10130434782607,90.04,3.9782608695652173,2.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,1.0,0.0,89.06130434782607,3,4,9,0.0,7,45.02,59.25,1
1314,LOJA 1314,18064,NEOSORO SOLUCAO NASAL ADULTO 30ML,45151,A,1.0,1.0,1133.430543478261,664.6632911392405,126.92391304347827,74.43037974683544,5,857,21.400000000000002,854.0,854.0,0.0,31,1131.6653,0,0,1.0,0.0,468.7672523390204,132,300,9,1.28,7,8.93,7.86,1
1314,LOJA 1314,20635,ABRILAR XAROPE 100ML,87021,B,0.9891304347826086,1.0,137.80565217391305,302.00696202531645,3.9565217391304346,8.670886075949367,8,26,236.96,28.0,27.0,1.0,0,31.409399999999998,1,0,0.9642857142857143,-0.010869565217391353,-164.2013098514034,5,8,9,0.84,7,34.83,41.5,1
1314,LOJA 1314,21141,PERCOF XAROPE 120ML,96108,B,0.9782608695652174,1.0,112.8208695652174,343.06430379746837,3.3260869565217392,10.113924050632912,6,32,190.85999999999999,34.0,31.0,3.0,0,24.9716,2,0,0.9117647058823529,-0.021739130434782594,-230.243434232251,4,9,9,0.84,7,33.92,45.21,1
1314,LOJA 1314,31330,ABRILAR XAROPE 200ML,87021,C,1.0,1.0,328.7230434782609,272.6118987341772,4.304347826086956,3.569620253164557,2,6,130.44,5.0,5.0,0.0,0,6.7674,0,0,1.0,0.0,56.111144744083674,3,6,9,0.0,7,76.37,91.1,1
1314,LOJA 1314,35416,EXPECTAMIN XAROPE 120ML,102013,C,1.0,1.0,88.45565217391304,111.05012658227847,3.760869565217391,4.7215189873417724,1,2,15.48,3.0,3.0,0.0,0,0.0,0,0,1.0,0.0,-22.59447440836543,2,4,9,0.0,7,23.52,25.52,1
1314,LOJA 1314,35772,EMSEXPECTOR XAROPE 120ML,173,C,0.9891304347826086,1.0,33.66021739130434,82.4939240506329,1.4565217391304348,3.569620253164557,5,5,83.75,6.0,5.0,1.0,0,8.844899999999999,1,0,0.8333333333333334,-0.010869565217391353,-48.833706659328556,1,2,9,0.0,7,23.11,14.9,1
1314,LOJA 1314,36857,NARIX ADULTO 30ML,51356,C,1.0,1.0,31.710217391304344,73.3,4.326086956521739,10.0,4,18,15.88,17.0,17.0,0.0,9,27.3474,0,0,1.0,0.0,-41.58978260869566,3,7,9,0.0,7,7.33,8.39,1
1314,LOJA 1314,42076,HEDRA EXPEC XAROPE 100ML,102013,C,1.0,1.0,42.34,,2.0,,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,1.0,0.0,,1,2,9,0.0,7,21.17,37.99,1
1314,LOJA 1314,44217,BROMELIN S 100ML,33104,C,1.0,1.0,155.79228260869564,167.31,2.7934782608695654,3.0,1,1,43.09,1.0,1.0,0.0,0,0.0,0,0,1.0,0.0,-11.517717391304359,2,3,9,0.0,7,55.77,74.2,1
1314,LOJA 1314,48812,ARLIVRY XAROPE CEREJA 100ML,35610,C,1.0,1.0,142.11195652173913,91.48101265822785,6.489130434782608,4.177215189873418,4,4,35.92,4.0,4.0,0.0,0,10.5255,0,0,1.0,0.0,50.63094386351128,6,7,9,0.0,7,21.9,18.49,1
1314,LOJA 1314,48813,ARLIVRY XAROPE MEL 100ML,35610,C,1.0,1.0,68.775,161.92594936708863,2.5,5.886075949367089,3,7,26.94,7.0,7.0,0.0,0,13.8276,0,0,1.0,0.0,-93.15094936708863,2,4,9,0.0,7,27.51,18.49,1
1314,LOJA 1314,51957,HEDERA CIMED 7MG 100ML,51356,C,1.0,0.9565217391304348,138.64717391304347,33.825949367088604,3.891304347826087,0.9493670886075949,1,1,14.95,1.0,1.0,0.0,0,0.0,0,4,1.0,0.04347826086956519,104.82122454595486,3,4,9,0.0,7,35.63,47.49,1
1314,LOJA 1314,5345,NARIDRIN ADULTO 15ML,173,C,1.0,1.0,95.70260869565217,158.67240506329114,5.413043478260869,8.974683544303797,2,10,17.88,11.0,11.0,0.0,0,17.9704,0,0,1.0,0.0,-62.96979636763896,3,8,9,0.0,7,17.68,17.05,1
1314,LOJA 1314,54554,ALOFF XPE 60ML,88708,C,1.0,1.0,66.08,,2.0,,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,1.0,0.0,,1,2,9,0.0,7,33.04,37.45,1
1314,LOJA 1314,55917,POLARATUSS LIQ 120ML,29532,C,1.0,1.0,59.06,,2.0,,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,1.0,0.0,,1,2,9,0.0,7,29.53,33.44,1
1314,LOJA 1314,57814,OSELTAMIVIR 75MG CAPS/10 GN-NATCOF,105913,C,1.0,1.0,344.11304347826086,349.5336708860759,1.9565217391304348,1.9873417721518987,0,0,0.0,0.0,0.0,0.0,14,0.0,0,0,1.0,0.0,-5.420627407815061,1,2,9,0.0,7,175.88,193.1,1
1314,LOJA 1314,57816,OSELTAMIVIR 30MG CAPS/10 GN-NATCOF,105913,C,1.0,0.9891304347826086,271.45923913043475,138.02848101265823,3.858695652173913,1.9620253164556962,0,0,0.0,0.0,0.0,0.0,14,0.0,0,1,1.0,0.010869565217391353,133.43075811777652,3,4,9,0.0,7,70.35,77.33,1
1314,LOJA 1314,57817,OSELTAMIVIR 45MG CAPS/10 GN-NATCOF,105913,C,1.0,1.0,211.06,211.06000000000003,2.0,2.0,0,0,0.0,0.0,0.0,0.0,14,0.0,0,0,1.0,0.0,-2.842170943040401e-14,1,2,9,0.0,7,105.53,116.25,1
1314,LOJA 1314,57912,LORATAMED D XPE 60ML,51356,C,1.0,1.0,47.74,47.74,2.0,2.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,1.0,0.0,0.0,1,2,9,0.0,7,23.87,27.81,1
1314,LOJA 1314,58701,ABRILAR XAROPE L-MENTOL 200ML,87021,C,1.0,1.0,123.74804347826088,95.24620253164558,1.891304347826087,1.4556962025316456,1,1,55.87,1.0,1.0,0.0,0,0.0,0,0,1.0,0.0,28.501840946615303,1,2,9,0.0,7,65.43,78.99,1
1314,LOJA 1314,62364,ALOFF XPE 60ML + SER,101141,C,1.0,1.0,72.9,36.45,2.0,1.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,1.0,0.0,36.45,1,2,9,0.0,7,36.45,43.95,1
1314,LOJA 1314,62782,HEDERA CIMED 7MG/ML CEREJA XPE100ML,51356,C,1.0,1.0,74.52,,2.0,,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,1.0,0.0,,1,2,9,0.0,7,37.26,46.88,1
1314,LOJA 1314,76834,"SORINAN ADULTO 0,5MG SOL NASAL 30ML",111893,C,1.0,1.0,16.170652173913044,8.55,1.891304347826087,1.0,1,1,5.22,1.0,1.0,0.0,0,0.0,0,0,1.0,0.0,7.620652173913044,1,2,9,0.0,7,8.55,10.8,1
1314,LOJA 1314,9607,NARIDRIN 12H ADULTO 30ML,173,B,1.0,1.0,216.70739130434785,296.52354430379745,7.641304347826087,10.455696202531646,8,49,114.48,48.0,48.0,0.0,0,63.7823,0,0,1.0,0.0,-79.8161529994496,9,15,9,0.84,7,28.36,27.5,1
841,LOJA 841,13315,BROMELIN SUSP 100ML,33104,C,1.0,1.0,111.78,,2.0,,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,1.0,0.0,,1,2,3,0.0,7,55.89,74.42,1
841,LOJA 841,1439,SORINE GTS ADULTO 30ML,334,C,1.0,0.9565217391304348,38.961739130434786,66.21316455696203,1.8695652173913044,3.1772151898734178,2,3,30.98,3.0,3.0,0.0,0,0.0,0,4,1.0,0.04347826086956519,-27.25142542652724,1,2,3,0.0,7,20.84,24.3,1
841,LOJA 841,15496,TAMIFLU 75MG CAPS C/10,30697,C,1.0,1.0,554.6,,2.0,,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,1.0,0.0,,1,2,3,0.0,7,277.3,346.49,1
841,LOJA 841,15589,ANTUX XAROPE 120ML,334,C,1.0,1.0,132.19347826086957,134.02430379746835,3.6956521739130435,3.7468354430379747,7,7,182.56,7.0,7.0,0.0,0,6.7681000000000004,0,0,1.0,0.0,-1.8308255365987804,3,4,3,0.0,7,35.77,46.99,1
841,LOJA 841,15590,ANTUX GTS 20ML,334,C,1.0,1.0,90.58695652173913,57.43544303797468,1.9565217391304348,1.240506329113924,1,1,34.63,1.0,1.0,0.0,0,0.0,0,0,1.0,0.0,33.15151348376445,1,2,3,0.0,7,46.3,58.26,1
841,LOJA 841,18064,NEOSORO SOLUCAO NASAL ADULTO 30ML,45151,B,0.9782608695652174,1.0,106.28434782608696,368.41430379746834,11.565217391304348,40.08860759493671,7,107,17.99,103.0,99.0,4.0,31,175.4378,2,0,0.9611650485436893,-0.021739130434782594,-262.1299559713814,9,23,3,0.84,7,9.19,9.02,1
841,LOJA 841,20635,ABRILAR XAROPE 100ML,87021,C,1.0,0.9782608695652174,68.52521739130434,64.83873417721519,1.9130434782608696,1.8101265822784811,2,2,47.0,2.0,2.0,0.0,0,0.0,0,2,1.0,0.021739130434782594,3.686483214089151,1,2,3,0.0,7,35.82,43.04,1
841,LOJA 841,21141,PERCOF XAROPE 120ML,96108,C,1.0,1.0,73.57239130434782,140.4432911392405,2.108695652173913,4.025316455696203,5,10,129.85,10.0,10.0,0.0,0,16.8205,0,0,1.0,0.0,-66.87089983489268,1,3,3,0.0,7,34.89,44.09,1
841,LOJA 841,31330,ABRILAR XAROPE 200ML,87021,C,1.0,1.0,157.1,157.1,2.0,2.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,1.0,0.0,0.0,1,2,3,0.0,7,78.55,95.01,1
841,LOJA 841,35416,EXPECTAMIN XAROPE 120ML,102013,C,1.0,0.9456521739130435,71.51826086956521,22.658987341772153,2.9565217391304346,0.9367088607594937,1,1,11.26,1.0,1.0,0.0,0,0.0,0,5,1.0,0.05434782608695654,48.85927352779306,2,3,3,0.0,7,24.19,27.29,1
841,LOJA 841,35772,EMSEXPECTOR XAROPE 120ML,173,C,1.0,0.9456521739130435,45.47304347826086,44.53113924050633,1.9130434782608696,1.8734177215189873,2,2,25.14,2.0,2.0,0.0,0,0.0,0,5,1.0,0.05434782608695654,0.9419042377545352,1,2,3,0.0,7,23.77,16.65,1
