z_value,review_days,objective,service_level,actual_service_level,service_level_delta_vs_actual,avg_inventory_value,actual_avg_inventory_value,inventory_value_delta_vs_actual,total_ordering_cost,total_lost_sales_units,total_orders,total_forecast_units,total_actual_units,horizon_days,series_days
0.84,7,188.66,0.998688,0.990817,0.007871,149.2973,130.2197,19.0776,3621.37,8.0,164,2814.0295,1607.0,92,5336
0.84,5,189.3023,0.998688,0.990817,0.007871,141.4897,130.2197,11.27,4398.76,10.0,197,2814.0295,1607.0,92,5336
1.04,7,190.385,0.998688,0.990817,0.007871,151.0223,130.2197,20.8026,3621.37,8.0,164,2814.0295,1607.0,92,5336
1.04,5,190.9861,0.998688,0.990817,0.007871,143.1735,130.2197,12.9537,4398.76,10.0,197,2814.0295,1607.0,92,5336
0.84,10,193.0689,0.998876,0.990817,0.008058,159.8616,130.2197,29.6419,3055.07,10.0,124,2814.0295,1607.0,92,5336
1.04,10,194.9535,0.998876,0.990817,0.008058,161.7462,130.2197,31.5265,3055.07,9.0,124,2814.0295,1607.0,92,5336
1.28,7,195.3689,0.999063,0.990817,0.008246,155.8506,130.2197,25.6309,3635.68,6.0,165,2814.0295,1607.0,92,5336
0.84,3,195.9394,0.998126,0.990817,0.007309,134.8601,130.2197,4.6404,5619.3,14.0,261,2814.0295,1607.0,92,5336
1.28,5,196.0652,0.998688,0.990817,0.007871,148.2094,130.2197,17.9896,4402.73,8.0,198,2814.0295,1607.0,92,5336
1.04,3,197.6393,0.998313,0.990817,0.007496,136.56,130.2197,6.3402,5619.3,13.0,261,2814.0295,1607.0,92,5336
1.28,10,199.7531,0.999063,0.990817,0.008246,166.5458,130.2197,36.3261,3055.07,6.0,124,2814.0295,1607.0,92,5336
1.65,7,201.1247,0.99925,0.990817,0.008433,161.5093,130.2197,31.2895,3644.62,5.0,166,2814.0295,1607.0,92,5336
1.65,5,201.8296,0.998876,0.990817,0.008058,153.8767,130.2197,23.6569,4411.67,6.0,199,2814.0295,1607.0,92,5336
1.28,3,202.6264,0.998501,0.990817,0.007684,141.5039,130.2197,11.2842,5623.27,10.0,262,2814.0295,1607.0,92,5336
0.84,14,202.8076,0.999063,0.990817,0.008246,173.9928,130.2197,43.773,2650.96,6.0,107,2814.0295,1607.0,92,5336
1.04,14,203.6259,0.999063,0.990817,0.008246,174.8111,130.2197,44.5913,2650.96,6.0,107,2814.0295,1607.0,92,5336
1.65,10,205.3708,0.99925,0.990817,0.008433,172.4458,130.2197,42.226,3029.1,4.0,123,2814.0295,1607.0,92,5336
1.65,3,208.343,0.998876,0.990817,0.008058,147.1233,130.2197,16.9035,5632.21,6.0,263,2814.0295,1607.0,92,5336
1.28,14,209.0435,0.999063,0.990817,0.008246,179.9068,130.2197,49.6871,2680.58,5.0,108,2814.0295,1607.0,92,5336
1.65,14,215.1025,0.999438,0.990817,0.008621,185.9937,130.2197,55.7739,2678.01,3.0,107,2814.0295,1607.0,92,5336
2.05,7,218.7966,0.999438,0.990817,0.008621,179.3367,130.2197,49.1169,3630.31,3.0,165,2814.0295,1607.0,92,5336
2.05,5,219.7435,0.999438,0.990817,0.008621,171.7906,130.2197,41.5709,4411.67,3.0,199,2814.0295,1607.0,92,5336
2.05,10,222.2287,0.999625,0.990817,0.008808,189.4508,130.2197,59.2311,3015.57,2.0,124,2814.0295,1607.0,92,5336
2.05,3,225.7783,0.999438,0.990817,0.008621,164.5586,130.2197,34.3389,5632.21,3.0,263,2814.0295,1607.0,92,5336
2.05,14,232.1184,0.999625,0.990817,0.008808,203.0096,130.2197,72.7899,2678.01,2.0,107,2814.0295,1607.0,92,5336
